gene_name,gene_id,lsv_id,mean_psi_per_lsv_junction,stdev_psi_per_lsv_junction,num_junctions,num_exons,de_novo_junctions,seqid,strand,lsv_junc,junc_start,junc_end,ir_start,ir_end,paste_into_igv_junction,exon_type,.id,color_gene_name
PLEKHA4,ENSG00000105559.12,ENSG00000105559.12:t:48841149-48841310,0.0021,0.0013,3,3,1,chr19,-,ENSG00000105559.12:t:48841149-48841310_48841310-48844503,48841310,48844503,48841311,48845140,chr19:48841310-48844503,target,nt_ctrl,NMD rescued
YKT6,ENSG00000106636.9,ENSG00000106636.9:t:44208795-44210931,0.0064,0.0037,5,2,1,chr7,+,ENSG00000106636.9:t:44208795-44210931_44208198-44210090,44208198,44210090,44208581,44208794,chr7:44208198-44210090,target,nt_ctrl,NMD rescued
YKT6,ENSG00000106636.9,ENSG00000106636.9:t:44208795-44210931,0.0128,0.0067,5,2,1,chr7,+,ENSG00000106636.9:t:44208795-44210931_44208198-44210866,44208198,44210866,44208581,44208794,chr7:44208198-44210866,target,nt_ctrl,non-NMD rescued
NSMCE4A,ENSG00000107672.15,ENSG00000107672.15:s:121974004-121974285,0.0273,0.0135,3,3,1,chr10,-,ENSG00000107672.15:s:121974004-121974285_121973599-121974004,121973599,121974004,121973600,121974003,chr10:121973599-121974004,source,nt_ctrl,NMD rescued
VRK3,ENSG00000105053.11,ENSG00000105053.11:t:49980955-49981184,0.0025,0.001,2,3,1,chr19,-,ENSG00000105053.11:t:49980955-49981184_49981013-49981818,49981013,49981818,,,chr19:49981013-49981818,target,nt_ctrl,NMD rescued
PTGES3L-AARSD1,ENSG00000108825.18,ENSG00000108825.18:s:42953724-42953778,0.0083,0.0017,3,3,1,chr17,-,ENSG00000108825.18:s:42953724-42953778_42952668-42953724,42952668,42953724,42952669,42953723,chr17:42952668-42953724,source,nt_ctrl,NMD rescued
MINPP1,ENSG00000107789.16,ENSG00000107789.16:t:87521036-87521169,0.0019,0.001,3,3,1,chr10,+,ENSG00000107789.16:t:87521036-87521169_87514878-87521036,87514878,87521036,87514879,87521035,chr10:87514878-87521036,target,nt_ctrl,NMD rescued
GRIK5,ENSG00000105737.10,ENSG00000105737.10:t:42022241-42022357,0.0182,0.0088,4,4,1,chr19,-,ENSG00000105737.10:t:42022241-42022357_42022354-42022517,42022354,42022517,,,chr19:42022354-42022517,target,nt_ctrl,non-NMD rescued
WASL,ENSG00000106299.8,ENSG00000106299.8:s:123692347-123692867,0.0015,5e-04,3,3,1,chr7,-,ENSG00000106299.8:s:123692347-123692867_123684580-123692347,123684580,123692347,123689151,123692346,chr7:123684580-123692347,source,nt_ctrl,non-NMD rescued
WASL,ENSG00000106299.8,ENSG00000106299.8:t:123681943-123684580,0.0019,0.001,3,3,1,chr7,-,ENSG00000106299.8:t:123681943-123684580_123684580-123692347,123684580,123692347,123684581,123689041,chr7:123684580-123692347,target,nt_ctrl,non-NMD rescued
PALD1,ENSG00000107719.10,ENSG00000107719.10:s:70539580-70539762,0.0036,0.0024,2,3,1,chr10,+,ENSG00000107719.10:s:70539580-70539762_70539762-70540560,70539762,70540560,,,chr10:70539762-70540560,source,nt_ctrl,NMD rescued
PALD1,ENSG00000107719.10,ENSG00000107719.10:t:70541102-70541242,0.0141,0.0126,3,4,1,chr10,+,ENSG00000107719.10:t:70541102-70541242_70540953-70541102,70540953,70541102,,,chr10:70540953-70541102,target,nt_ctrl,NMD rescued
IQCE,ENSG00000106012.18,ENSG00000106012.18:s:2558972-2559217,4e-04,0,4,5,1,chr7,+,ENSG00000106012.18:s:2558972-2559217_2559217-2564878,2559217,2564878,,,chr7:2559217-2564878,source,nt_ctrl,non-NMD rescued
IQCE,ENSG00000106012.18,ENSG00000106012.18:s:2564878-2565071,0.0102,0.0119,2,2,1,chr7,+,ENSG00000106012.18:s:2564878-2565071_2565071-2567116,2565071,2567116,2565072,2566558,chr7:2565071-2567116,source,nt_ctrl,non-NMD rescued
IQCE,ENSG00000106012.18,ENSG00000106012.18:t:2564878-2565071,0.0102,0.0119,2,2,1,chr7,+,ENSG00000106012.18:t:2564878-2565071_2559217-2564878,2559217,2564878,2559521,2564877,chr7:2559217-2564878,target,nt_ctrl,non-NMD rescued
IQCE,ENSG00000106012.18,ENSG00000106012.18:t:2567116-2567163,5e-04,0,4,5,1,chr7,+,ENSG00000106012.18:t:2567116-2567163_2565071-2567116,2565071,2567116,,,chr7:2565071-2567116,target,nt_ctrl,non-NMD rescued
ELF2,ENSG00000109381.21,ENSG00000109381.21:t:139061865-139062057,0.0457,0.0216,4,4,1,chr4,-,ENSG00000109381.21:t:139061865-139062057_139062057-139064580,139062057,139064580,139062058,139066009,chr4:139062057-139064580,target,nt_ctrl,non-NMD rescued
MADD,ENSG00000110514.19,ENSG00000110514.19:s:47324471-47325035,2e-04,0,7,5,1,chr11,+,ENSG00000110514.19:s:47324471-47325035_47325032-47326544,47325032,47326544,,,chr11:47325032-47326544,source,nt_ctrl,non-NMD rescued
MADD,ENSG00000110514.19,ENSG00000110514.19:s:47324471-47325035,0.0028,1e-04,7,5,1,chr11,+,ENSG00000110514.19:s:47324471-47325035_47325032-47326738,47325032,47326738,,,chr11:47325032-47326738,source,nt_ctrl,NMD rescued
MADD,ENSG00000110514.19,ENSG00000110514.19:t:47326544-47326552,0.0011,1e-04,3,2,1,chr11,+,ENSG00000110514.19:t:47326544-47326552_47325032-47326544,47325032,47326544,47325301,47326543,chr11:47325032-47326544,target,nt_ctrl,NMD rescued
MADD,ENSG00000110514.19,ENSG00000110514.19:t:47326738-47327186,0.0044,7e-04,3,3,1,chr11,+,ENSG00000110514.19:t:47326738-47327186_47325032-47326738,47325032,47326738,,,chr11:47325032-47326738,target,nt_ctrl,NMD rescued
RAI1,ENSG00000108557.20,ENSG00000108557.20:t:17792933-17795776,0.0086,0.0013,4,4,1,chr17,+,ENSG00000108557.20:t:17792933-17795776_17792300-17792933,17792300,17792933,17792301,17792932,chr17:17792300-17792933,target,nt_ctrl,non-NMD rescued
RNGTT,ENSG00000111880.16,ENSG00000111880.16:s:88906022-88906440,0.0323,0.0196,3,2,1,chr6,-,ENSG00000111880.16:s:88906022-88906440_88904955-88906022,88904955,88906022,88904956,88906021,chr6:88904955-88906022,source,nt_ctrl,non-NMD rescued
CCDC47,ENSG00000108588.15,ENSG00000108588.15:s:63756240-63756350,0.0012,2e-04,3,3,1,chr17,-,ENSG00000108588.15:s:63756240-63756350_63752799-63756240,63752799,63756240,63754519,63756239,chr17:63752799-63756240,source,nt_ctrl,NMD rescued
CCDC47,ENSG00000108588.15,ENSG00000108588.15:t:63752741-63753067,8e-04,1e-04,4,3,1,chr17,-,ENSG00000108588.15:t:63752741-63753067_63752799-63756240,63752799,63756240,63753068,63754432,chr17:63752799-63756240,target,nt_ctrl,NMD rescued
FUBP3,ENSG00000107164.17,ENSG00000107164.17:s:130617797-130617895,8e-04,0,3,3,1,chr9,+,ENSG00000107164.17:s:130617797-130617895_130617895-130619327,130617895,130619327,130617896,130619326,chr9:130617895-130619327,source,nt_ctrl,NMD rescued
BVES,ENSG00000112276.14,ENSG00000112276.14:t:105125391-105125578,0.0163,0.0117,3,3,1,chr6,-,ENSG00000112276.14:t:105125391-105125578_105125578-105126307,105125578,105126307,105125579,105126306,chr6:105125578-105126307,target,nt_ctrl,non-NMD rescued
CEP72,ENSG00000112877.8,ENSG00000112877.8:t:652988-653553,0.0012,8e-04,5,5,1,chr5,+,ENSG00000112877.8:t:652988-653553_648223-652988,648223,652988,648224,652987,chr5:648223-652988,target,nt_ctrl,NMD rescued
CEP72,ENSG00000112877.8,ENSG00000112877.8:t:652988-653553,0.0012,8e-04,5,5,1,chr5,+,ENSG00000112877.8:t:652988-653553_651802-652988,651802,652988,648224,652987,chr5:651802-652988,target,nt_ctrl,NMD rescued
WIPF1,ENSG00000115935.19,ENSG00000115935.19:s:174585523-174585611,0.0058,0.0054,2,3,1,chr2,-,ENSG00000115935.19:s:174585523-174585611_174575380-174585523,174575380,174585523,,,chr2:174575380-174585523,source,nt_ctrl,non-NMD rescued
PRDM2,ENSG00000116731.23,ENSG00000116731.23:s:13731000-13731117,0.0305,0.0243,3,4,1,chr1,+,ENSG00000116731.23:s:13731000-13731117_13731117-13731567,13731117,13731567,,,chr1:13731117-13731567,source,nt_ctrl,non-NMD rescued
PRDM2,ENSG00000116731.23,ENSG00000116731.23:t:13732779-13732882,0.007,0.0072,2,3,1,chr1,+,ENSG00000116731.23:t:13732779-13732882_13731616-13732779,13731616,13732779,,,chr1:13731616-13732779,target,nt_ctrl,non-NMD rescued
TFDP2,ENSG00000114126.18,ENSG00000114126.18:s:142149114-142149544,0.0457,0.0252,4,4,1,chr3,-,ENSG00000114126.18:s:142149114-142149544_142101841-142149114,142101841,142149114,,,chr3:142101841-142149114,source,nt_ctrl,non-NMD rescued
TFDP2,ENSG00000114126.18,ENSG00000114126.18:t:142101735-142101841,0.0462,0.0253,3,3,1,chr3,-,ENSG00000114126.18:t:142101735-142101841_142101841-142149114,142101841,142149114,,,chr3:142101841-142149114,target,nt_ctrl,non-NMD rescued
GPX7,ENSG00000116157.6,ENSG00000116157.6:t:52606684-52607408,4e-04,0,5,5,1,chr1,+,ENSG00000116157.6:t:52606684-52607408_52606260-52606684,52606260,52606684,52606261,52606683,chr1:52606260-52606684,target,nt_ctrl,NMD rescued
B4GALT2,ENSG00000117411.18,ENSG00000117411.18:s:43979179-43979616,6e-04,0,7,4,1,chr1,+,ENSG00000117411.18:s:43979179-43979616_43979511-43980130,43979511,43980130,,,chr1:43979511-43980130,source,nt_ctrl,NMD rescued
ERI3,ENSG00000117419.16,ENSG00000117419.16:s:44241915-44242080,0.0047,0.0054,3,3,1,chr1,-,ENSG00000117419.16:s:44241915-44242080_44226003-44241915,44226003,44241915,44232389,44241914,chr1:44226003-44241915,source,nt_ctrl,NMD rescued
ERI3,ENSG00000117419.16,ENSG00000117419.16:t:44221070-44221640,0.0013,0,7,7,1,chr1,-,ENSG00000117419.16:t:44221070-44221640_44221640-44225766,44221640,44225766,44221641,44225765,chr1:44221640-44225766,target,nt_ctrl,NMD rescued
TTC33,ENSG00000113638.14,ENSG00000113638.14:s:40746798-40747019,0.0248,0.0201,8,8,1,chr5,-,ENSG00000113638.14:s:40746798-40747019_40741982-40746798,40741982,40746798,40741983,40746797,chr5:40741982-40746798,source,nt_ctrl,NMD rescued
TTC33,ENSG00000113638.14,ENSG00000113638.14:t:40730262-40730343,0.0027,0.0021,3,3,1,chr5,-,ENSG00000113638.14:t:40730262-40730343_40730343-40741864,40730343,40741864,40730344,40741863,chr5:40730343-40741864,target,nt_ctrl,NMD rescued
ALDH6A1,ENSG00000119711.13,ENSG00000119711.13:t:74071878-74071974,0.002,0.0011,3,3,1,chr14,-,ENSG00000119711.13:t:74071878-74071974_74071974-74072406,74071974,74072406,,,chr14:74071974-74072406,target,nt_ctrl,NMD rescued
ADCY7,ENSG00000121281.13,ENSG00000121281.13:s:50246137-50246203,0.0025,0.0019,3,4,1,chr16,+,ENSG00000121281.13:s:50246137-50246203_50246203-50246881,50246203,50246881,,,chr16:50246203-50246881,source,nt_ctrl,non-NMD rescued
GON4L,ENSG00000116580.20,ENSG00000116580.20:s:155785334-155785374,0.0116,0.0056,3,3,1,chr1,-,ENSG00000116580.20:s:155785334-155785374_155777820-155785334,155777820,155785334,155784390,155785333,chr1:155777820-155785334,source,nt_ctrl,non-NMD rescued
GON4L,ENSG00000116580.20,ENSG00000116580.20:t:155777622-155777820,0.0178,0.0111,3,3,1,chr1,-,ENSG00000116580.20:t:155777622-155777820_155777820-155785334,155777820,155785334,155777821,155783985,chr1:155777820-155785334,target,nt_ctrl,NMD rescued
ECE1,ENSG00000117298.16,ENSG00000117298.16:s:21260109-21260392,2e-04,0,3,2,1,chr1,-,ENSG00000117298.16:s:21260109-21260392_21258839-21260109,21258839,21260109,21258840,21260108,chr1:21258839-21260109,source,nt_ctrl,non-NMD rescued
RCOR3,ENSG00000117625.14,ENSG00000117625.14:t:211312720-211313298,0.0276,0.0217,3,4,1,chr1,+,ENSG00000117625.14:t:211312720-211313298_211295753-211312720,211295753,211312720,,,chr1:211295753-211312720,target,nt_ctrl,non-NMD rescued
ADGRL2,ENSG00000117114.21,ENSG00000117114.21:s:81800934-81801068,0.0118,0.0067,4,4,1,chr1,+,ENSG00000117114.21:s:81800934-81801068_81801068-81801890,81801068,81801890,81801069,81801889,chr1:81801068-81801890,source,nt_ctrl,NMD rescued
NSUN4,ENSG00000117481.11,ENSG00000117481.11:t:46360704-46360828,0.0307,0.0173,3,3,1,chr1,+,ENSG00000117481.11:t:46360704-46360828_46357659-46360704,46357659,46360704,46353029,46360703,chr1:46357659-46360704,target,nt_ctrl,non-NMD rescued
AKT3,ENSG00000117020.19,ENSG00000117020.19:s:243545510-243545648,0.0018,4e-04,2,3,1,chr1,-,ENSG00000117020.19:s:243545510-243545648_243523467-243545510,243523467,243545510,,,chr1:243523467-243545510,source,nt_ctrl,NMD rescued
AKT3,ENSG00000117020.19,ENSG00000117020.19:t:243512324-243512426,0.0018,4e-04,2,3,1,chr1,-,ENSG00000117020.19:t:243512324-243512426_243512426-243523309,243512426,243523309,,,chr1:243512426-243523309,target,nt_ctrl,NMD rescued
FOXO3,ENSG00000118689.15,ENSG00000118689.15:s:108560917-108561829,0.0363,0.0208,2,3,1,chr6,+,ENSG00000118689.15:s:108560917-108561829_108561829-108639493,108561829,108639493,,,chr6:108561829-108639493,source,nt_ctrl,NMD rescued
CCDC77,ENSG00000120647.10,ENSG00000120647.10:s:418494-418881,0.0375,0.0268,3,2,1,chr12,+,ENSG00000120647.10:s:418494-418881_418636-428761,418636,428761,418882,428760,chr12:418636-428761,source,nt_ctrl,non-NMD rescued
CNTFR,ENSG00000122756.15,ENSG00000122756.15:t:34577085-34577328,0.0362,0.0162,3,3,1,chr9,-,ENSG00000122756.15:t:34577085-34577328_34577328-34581095,34577328,34581095,34577329,34581093,chr9:34577328-34581095,target,nt_ctrl,non-NMD rescued
COQ8B,ENSG00000123815.13,ENSG00000123815.13:s:40692951-40693037,0.0412,0.0142,2,3,1,chr19,-,ENSG00000123815.13:s:40692951-40693037_40686995-40692951,40686995,40692951,,,chr19:40686995-40692951,source,nt_ctrl,non-NMD rescued
SLC8A2,ENSG00000118160.14,ENSG00000118160.14:s:47447809-47448231,0.0022,7e-04,2,3,1,chr19,-,ENSG00000118160.14:s:47447809-47448231_47432445-47447809,47432445,47447809,,,chr19:47432445-47447809,source,nt_ctrl,NMD rescued
WDR35,ENSG00000118965.16,ENSG00000118965.16:s:19938265-19938401,0.0292,0.0248,2,2,1,chr2,-,ENSG00000118965.16:s:19938265-19938401_19937946-19938321,19937946,19938321,,,chr2:19937946-19938321,source,nt_ctrl,NMD rescued
WDR35,ENSG00000118965.16,ENSG00000118965.16:s:19978751-19978879,0.0011,4e-04,4,3,1,chr2,-,ENSG00000118965.16:s:19978751-19978879_19978167-19978751,19978167,19978751,19978168,19978750,chr2:19978167-19978751,source,nt_ctrl,NMD rescued
WDR35,ENSG00000118965.16,ENSG00000118965.16:t:19975530-19975663,0.0058,0.003,3,3,1,chr2,-,ENSG00000118965.16:t:19975530-19975663_19975663-19977925,19975663,19977925,19975664,19977924,chr2:19975663-19977925,target,nt_ctrl,NMD rescued
DNMT3A,ENSG00000119772.19,ENSG00000119772.19:s:25239130-25239215,1e-04,0,5,4,1,chr2,-,ENSG00000119772.19:s:25239130-25239215_25237276-25239130,25237276,25239130,25237277,25239129,chr2:25237276-25239130,source,nt_ctrl,NMD rescued
DNMT3A,ENSG00000119772.19,ENSG00000119772.19:s:25281452-25282711,3e-04,0,4,4,1,chr2,-,ENSG00000119772.19:s:25281452-25282711_25280248-25282441,25280248,25282441,25280249,25281451,chr2:25280248-25282441,source,nt_ctrl,non-NMD rescued
DNMT3A,ENSG00000119772.19,ENSG00000119772.19:t:25236930-25237005,1e-04,0,5,3,1,chr2,-,ENSG00000119772.19:t:25236930-25237005_25237005-25237139,25237005,25237139,25237006,25237134,chr2:25237005-25237139,target,nt_ctrl,NMD rescued
PKD2,ENSG00000118762.8,ENSG00000118762.8:s:88036064-88036480,0.0092,0.0089,3,2,1,chr4,+,ENSG00000118762.8:s:88036064-88036480_88036480-88038251,88036480,88038251,88036481,88038250,chr4:88036480-88038251,source,nt_ctrl,NMD rescued
NCAPH,ENSG00000121152.10,ENSG00000121152.10:s:96359045-96359452,0.0012,1e-04,2,3,1,chr2,+,ENSG00000121152.10:s:96359045-96359452_96359193-96360588,96359193,96360588,,,chr2:96359193-96360588,source,nt_ctrl,NMD rescued
PKN1,ENSG00000123143.13,ENSG00000123143.13:s:14446409-14446561,0.0013,0,4,4,1,chr19,+,ENSG00000123143.13:s:14446409-14446561_14446561-14450088,14446561,14450088,14446562,14450087,chr19:14446561-14450088,source,nt_ctrl,NMD rescued
PKN1,ENSG00000123143.13,ENSG00000123143.13:t:14450318-14450463,5e-04,0,4,3,1,chr19,+,ENSG00000123143.13:t:14450318-14450463_14450214-14450318,14450214,14450318,14450215,14450317,chr19:14450214-14450318,target,nt_ctrl,NMD rescued
ZC3H7A,ENSG00000122299.12,ENSG00000122299.12:t:11758431-11759850,0.0474,0.027,4,3,1,chr16,-,ENSG00000122299.12:t:11758431-11759850_11758539-11761910,11758539,11761910,11759851,11761405,chr16:11758539-11761910,target,nt_ctrl,non-NMD rescued
PRKD3,ENSG00000115825.11,ENSG00000115825.11:t:37290868-37290999,0.0341,0.0173,3,3,1,chr2,-,ENSG00000115825.11:t:37290868-37290999_37290999-37292922,37290999,37292922,37291000,37292921,chr2:37290999-37292922,target,nt_ctrl,non-NMD rescued
MED1,ENSG00000125686.12,ENSG00000125686.12:s:39431115-39431236,0.01,0.007,3,3,1,chr17,-,ENSG00000125686.12:s:39431115-39431236_39430217-39431115,39430217,39431115,39430218,39431114,chr17:39430217-39431115,source,nt_ctrl,NMD rescued
LRRFIP1,ENSG00000124831.20,ENSG00000124831.20:s:237769943-237770776,0.0098,0.0084,2,3,1,chr2,+,ENSG00000124831.20:s:237769943-237770776_237769992-237772866,237769992,237772866,,,chr2:237769992-237772866,source,nt_ctrl,non-NMD rescued
LRRFIP1,ENSG00000124831.20,ENSG00000124831.20:t:237772866-237772945,0.0081,0.0077,3,3,1,chr2,+,ENSG00000124831.20:t:237772866-237772945_237769992-237772866,237769992,237772866,,,chr2:237769992-237772866,target,nt_ctrl,non-NMD rescued
PHF19,ENSG00000119403.15,ENSG00000119403.15:s:120877091-120877188,0.0058,1e-04,2,3,1,chr9,-,ENSG00000119403.15:s:120877091-120877188_120876002-120877091,120876002,120877091,,,chr9:120876002-120877091,source,nt_ctrl,NMD rescued
ARL1,ENSG00000120805.14,ENSG00000120805.14:t:101401062-101401486,0.01,0.0081,2,3,1,chr12,-,ENSG00000120805.14:t:101401062-101401486_101401173-101405844,101401173,101405844,,,chr12:101401173-101405844,target,nt_ctrl,non-NMD rescued
TUBGCP3,ENSG00000126216.15,ENSG00000126216.15:s:112544556-112546203,0.0014,4e-04,3,3,1,chr13,-,ENSG00000126216.15:s:112544556-112546203_112522509-112545699,112522509,112545699,112539984,112544555,chr13:112522509-112545699,source,nt_ctrl,NMD rescued
TUBGCP3,ENSG00000126216.15,ENSG00000126216.15:t:112522320-112522509,0.001,1e-04,3,3,1,chr13,-,ENSG00000126216.15:t:112522320-112522509_112522509-112545699,112522509,112545699,112522510,112526941,chr13:112522509-112545699,target,nt_ctrl,NMD rescued
ABCC4,ENSG00000125257.16,ENSG00000125257.16:s:95161189-95161335,0.0495,0.0273,3,3,1,chr13,-,ENSG00000125257.16:s:95161189-95161335_95157322-95161189,95157322,95161189,95148961,95161188,chr13:95157322-95161189,source,nt_ctrl,NMD rescued
GPCPD1,ENSG00000125772.14,ENSG00000125772.14:s:5604364-5604440,0.0339,0.0287,3,3,1,chr20,-,ENSG00000125772.14:s:5604364-5604440_5599463-5604364,5599463,5604364,5598822,5604363,chr20:5599463-5604364,source,nt_ctrl,NMD rescued
PCID2,ENSG00000126226.22,ENSG00000126226.22:t:113181129-113181230,0.0012,2e-04,3,3,1,chr13,-,ENSG00000126226.22:t:113181129-113181230_113181230-113183787,113181230,113183787,113181231,113183786,chr13:113181230-113183787,target,nt_ctrl,NMD rescued
PEPD,ENSG00000124299.16,ENSG00000124299.16:t:33500938-33501511,0.0028,0,10,9,1,chr19,-,ENSG00000124299.16:t:33500938-33501511_33501001-33507343,33501001,33507343,33501512,33511027,chr19:33501001-33507343,target,nt_ctrl,non-NMD rescued
NCLN,ENSG00000125912.11,ENSG00000125912.11:s:3198817-3198901,0.0031,0,5,4,1,chr19,+,ENSG00000125912.11:s:3198817-3198901_3198897-3200333,3198897,3200333,3198902,3199106,chr19:3198897-3200333,source,nt_ctrl,NMD rescued
RALY,ENSG00000125970.12,ENSG00000125970.12:s:34072066-34072330,2e-04,0,8,6,1,chr20,+,ENSG00000125970.12:s:34072066-34072330_34072330-34075874,34072330,34075874,34072331,34073562,chr20:34072330-34075874,source,nt_ctrl,NMD rescued
RALY,ENSG00000125970.12,ENSG00000125970.12:t:34075874-34076229,2e-04,0,5,5,1,chr20,+,ENSG00000125970.12:t:34075874-34076229_34072330-34075874,34072330,34075874,34075428,34075873,chr20:34072330-34075874,target,nt_ctrl,NMD rescued
MTERF1,ENSG00000127989.14,ENSG00000127989.14:s:91880055-91880439,0.0316,0.0229,6,5,1,chr7,-,ENSG00000127989.14:s:91880055-91880439_91802599-91880055,91802599,91880055,91876979,91880054,chr7:91802599-91880055,source,nt_ctrl,NMD rescued
PXDN,ENSG00000130508.11,ENSG00000130508.11:s:1653076-1653785,0.0046,0,4,4,1,chr2,-,ENSG00000130508.11:s:1653076-1653785_1650886-1653628,1650886,1653628,1650887,1653075,chr2:1650886-1653628,source,nt_ctrl,non-NMD rescued
PXDN,ENSG00000130508.11,ENSG00000130508.11:t:1648172-1649675,0.0068,0,3,3,1,chr2,-,ENSG00000130508.11:t:1648172-1649675_1649675-1650800,1649675,1650800,1649676,1650799,chr2:1649675-1650800,target,nt_ctrl,non-NMD rescued
UBR4,ENSG00000127481.15,ENSG00000127481.15:s:19145793-19145933,0.0208,0.0092,2,3,1,chr1,-,ENSG00000127481.15:s:19145793-19145933_19145678-19145793,19145678,19145793,,,chr1:19145678-19145793,source,nt_ctrl,non-NMD rescued
LRFN1,ENSG00000128011.5,ENSG00000128011.5:s:39320490-39320863,0.0243,0.0137,2,2,1,chr19,-,ENSG00000128011.5:s:39320490-39320863_39318358-39320490,39318358,39320490,,,chr19:39318358-39320490,source,nt_ctrl,non-NMD rescued
DOCK4,ENSG00000128512.24,ENSG00000128512.24:s:112004048-112004131,0.0334,0.0197,2,3,1,chr7,-,ENSG00000128512.24:s:112004048-112004131_111998503-112004048,111998503,112004048,,,chr7:111998503-112004048,source,nt_ctrl,non-NMD rescued
DOCK4,ENSG00000128512.24,ENSG00000128512.24:t:111998448-111998503,0.0279,0.0186,2,3,1,chr7,-,ENSG00000128512.24:t:111998448-111998503_111998503-112004048,111998503,112004048,,,chr7:111998503-112004048,target,nt_ctrl,non-NMD rescued
UNC13A,ENSG00000130477.16,ENSG00000130477.16:s:17642845-17642960,3e-04,0,5,3,1,chr19,-,ENSG00000130477.16:s:17642845-17642960_17642591-17642845,17642591,17642845,17642592,17642844,chr19:17642591-17642845,source,nt_ctrl,non-NMD rescued
UNC13A,ENSG00000130477.16,ENSG00000130477.16:s:17642845-17642960,3e-04,0,5,3,1,chr19,-,ENSG00000130477.16:s:17642845-17642960_17642541-17642845,17642541,17642845,17642592,17642844,chr19:17642541-17642845,source,nt_ctrl,NMD rescued
UNC13A,ENSG00000130477.16,ENSG00000130477.16:t:17641393-17641556,5e-04,0,3,3,1,chr19,-,ENSG00000130477.16:t:17641393-17641556_17641556-17642414,17641556,17642414,17641557,17642413,chr19:17641556-17642414,target,nt_ctrl,NMD rescued
ZNF141,ENSG00000131127.14,ENSG00000131127.14:t:343782-343908,0.0015,9e-04,4,4,1,chr4,+,ENSG00000131127.14:t:343782-343908_337415-343782,337415,343782,337987,343781,chr4:337415-343782,target,nt_ctrl,non-NMD rescued
EEFSEC,ENSG00000132394.11,ENSG00000132394.11:s:128264617-128264781,0.0053,0.0015,2,3,1,chr3,+,ENSG00000132394.11:s:128264617-128264781_128264781-128336904,128264781,128336904,,,chr3:128264781-128336904,source,nt_ctrl,NMD rescued
TMEM175,ENSG00000127419.17,ENSG00000127419.17:s:932387-932540,0.0023,1e-04,7,6,1,chr4,+,ENSG00000127419.17:s:932387-932540_932540-951207,932540,951207,932541,945998,chr4:932540-951207,source,nt_ctrl,non-NMD rescued
TMEM175,ENSG00000127419.17,ENSG00000127419.17:t:951207-951259,0.0045,0.0011,2,3,1,chr4,+,ENSG00000127419.17:t:951207-951259_932540-951207,932540,951207,,,chr4:932540-951207,target,nt_ctrl,non-NMD rescued
TMEM175,ENSG00000127419.17,ENSG00000127419.17:t:952817-953354,0.001,1e-04,3,3,1,chr4,+,ENSG00000127419.17:t:952817-953354_952450-952817,952450,952817,,,chr4:952450-952817,target,nt_ctrl,non-NMD rescued
MAU2,ENSG00000129933.21,ENSG00000129933.21:s:19343837-19344159,0.0079,0.0031,2,2,1,chr19,+,ENSG00000129933.21:s:19343837-19344159_19343940-19344796,19343940,19344796,,,chr19:19343940-19344796,source,nt_ctrl,NMD rescued
DOCK6,ENSG00000130158.14,ENSG00000130158.14:s:11247258-11248151,0.0013,1e-04,2,3,1,chr19,-,ENSG00000130158.14:s:11247258-11248151_11246962-11248066,11246962,11248066,,,chr19:11246962-11248066,source,nt_ctrl,NMD rescued
CCDC136,ENSG00000128596.17,ENSG00000128596.17:t:128809167-128809644,9e-04,1e-04,3,3,1,chr7,+,ENSG00000128596.17:t:128809167-128809644_128808672-128809450,128808672,128809450,128808673,128809166,chr7:128808672-128809450,target,nt_ctrl,NMD rescued
RFX1,ENSG00000132005.9,ENSG00000132005.9:s:14006103-14006322,0.0112,0.0084,5,5,1,chr19,-,ENSG00000132005.9:s:14006103-14006322_13996027-14006103,13996027,14006103,13998318,14006102,chr19:13996027-14006103,source,nt_ctrl,NMD rescued
UNC79,ENSG00000133958.14,ENSG00000133958.14:s:93529286-93529326,0.0386,0.0179,3,3,1,chr14,+,ENSG00000133958.14:s:93529286-93529326_93529326-93537989,93529326,93537989,93529327,93532549,chr14:93529326-93537989,source,nt_ctrl,non-NMD rescued
CDK7,ENSG00000134058.12,ENSG00000134058.12:s:69259818-69259936,0.0136,0.0109,3,3,1,chr5,+,ENSG00000134058.12:s:69259818-69259936_69259936-69261377,69259936,69261377,69259937,69261376,chr5:69259936-69261377,source,nt_ctrl,NMD rescued
CDK7,ENSG00000134058.12,ENSG00000134058.12:t:69262205-69262304,0.0069,0.0054,5,5,1,chr5,+,ENSG00000134058.12:t:69262205-69262304_69261458-69262205,69261458,69262205,69261459,69262204,chr5:69261458-69262205,target,nt_ctrl,NMD rescued
MEIS2,ENSG00000134138.22,ENSG00000134138.22:s:37097934-37098531,0.0014,0,6,3,1,chr15,-,ENSG00000134138.22:s:37097934-37098531_37096430-37097934,37096430,37097934,37097406,37097933,chr15:37096430-37097934,source,nt_ctrl,non-NMD rescued
MEIS2,ENSG00000134138.22,ENSG00000134138.22:t:37096289-37096506,0.0015,0,5,3,1,chr15,-,ENSG00000134138.22:t:37096289-37096506_37096430-37097934,37096430,37097934,37096507,37097270,chr15:37096430-37097934,target,nt_ctrl,non-NMD rescued
