gene,paste_into_igv_junction,paste_into_igv_junction_annotated,strand,junc_cat,junc_in_ref,cryptic,junction_for_clustering,ID_exon,last_exon,dox0_sh,dox0125,dox0187,dox021,dox025,dox075,tdp43_sensitivity_sh,max_psi_sh,dox0_be2,dox002,dox003,dox004,dox005,dox0075,dox01,dox1,tdp43_sensitivity_be2,max_psi_be2,UMAP_1_together,UMAP_2_together,cluster_together,UMAP_1_sh,UMAP_2_sh,cluster_sh,UMAP_1_be2,UMAP_2_be2,cluster_be2,score_cryptic,score_ann,phastCons_alt,phastCons_unchanged,longest_ug_region,dist_nearest_ug_region,width
EPB41L1,chr20:36194360-36195329,chr20:36194360-36197859,+,acceptor,TRUE,no,yes,150,FALSE,0.373,0.373,0.373,0.373,0.373,0.664,Late,Medium,,,,,,,,,,,,,,,,,,,,,,0.998500001,0.994,0,,3499
EPB41L1,chr20:36195364-36197859,chr20:36194360-36197859,+,donor,TRUE,no,no,150,FALSE,0.368,0.368,0.368,0.368,0.368,0.648,Late,Medium,,,,,,,,,,,,,,,,,,,,,,1,0.996100014,0,,3499
EPB41L4A,chr5:112267284-112275326,chr5:112266330-112275326,-,acceptor,FALSE,yes,no,151,FALSE,0.008,0.45,0.895,0.911,0.994,0.991,Early,Top,,,,,,,,,,,,,,,,,,,,,,0.0545,0.999000001,28,50,8996
EPB41L4A,chr5:112266330-112267210,chr5:112266330-112275326,-,donor,FALSE,yes,yes,151,FALSE,0.008,0.226,0.879,0.868,0.993,0.993,Early,Top,,,,,,,,,,,-6.718000427,-6.856645979,1,0.87473234,6.848228038,3,,,,,,0.031,0.999800003,28,22,8996
EPG5,chr18:45901167-45903940,chr18:45901167-45903973,-,donor,FALSE,no,yes,152,FALSE,0.066,0.066,0.066,0.066,0.365,0.714,Intermediate,Top,,,,,,,,,,,,,,,,,,,,,,0.076100001,0.989599991,0,,2806
ETS2,chr21:38806808-38810035,chr21:38806120-38810035,+,donor,TRUE,no,yes,153,FALSE,,,,,,,,,0.078,0.078,0.078,0.309,0.356,0.497,0.531,0.589,Early,Top,,,,,,,,,,,,0.420599997,0.993900007,20,30,3915
EXOC7,chr17:76089320-76094414,chr17:76089320-76094414,-,exon_skip,TRUE,no,yes,154,FALSE,0.491,0.491,0.664,0.664,0.666,0.835,Early,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,5094
F8,chrX:154863227-154896077,chrX:154863227-154886133,-,donor,TRUE,no,yes,155,FALSE,0.03,0.03,0.03,0.03,0.03,0.611,Late,Top,,,,,,,,,,,,,,,,,,,,,,0.992300004,0.987800002,0,,
FAHD2A,chr2:95402992-95405277,chr2:95402992-95405553,+,donor,TRUE,no,yes,156,FALSE,0.004,0.004,0.004,0.06,0.06,0.205,Late,Bottom,,,,,,,,,,,,,,,,,,,,,,0.0028,0.0046,0,,2561
FAM114A2,chr5:154037455-154038388,chr5:154034967-154038388,-,acceptor,FALSE,yes,yes,157,FALSE,0.004,0.004,0.155,0.108,0.058,0.236,Early,Bottom,,,,,,,,,,,0.417160394,-5.348547935,8,1.385098211,-1.283400495,5,,,,,,0.4097,0.354800001,16,130,3421
FAM114A2,chr5:154037455-154038293,chr5:154034967-154038293,-,acceptor,FALSE,yes,yes,158,FALSE,,,,,,,,,0.002,0.002,0.321,0.321,0.321,0.336,0.336,0.336,Early,Medium,-0.673302709,9.230191125,9,,,,0.309068588,0.905044491,4,,,0.4097,0.0032,16,130,3326
FAM163B,chr9:133580246-133609077,chr9:133580246-133585976,-,donor,TRUE,no,yes,159,FALSE,0.446,0.446,0.616,0.616,0.627,0.851,Early,Top,,,,,,,,,,,,,,,,,,,,,,0.99690001,0.998300004,0,,5730
FAM27C,chr9:61856814-61917468,chr9:61856814-61861276,+,acceptor,TRUE,no,yes,160,FALSE,0.407,0.407,0.635,0.635,0.635,0.87,Early,Top,,,,,,,,,,,,,,,,,,,,,,0.0193,0.095299999,0,,4462
FAM66C,chr12:8188535-8193520,chr12:8188535-8194203,+,acceptor,FALSE,no,no,161,FALSE,0.01,0.136,0.345,0.345,0.345,0.35,Early,Medium,,,,,,,,,,,,,,,,,,,,,,0.315900001,0.841100007,20,134,5668
FAM66C,chr12:8193655-8194203,chr12:8188645-8194203,+,donor,TRUE,no,yes,161,FALSE,0.285,0.562,0.785,0.776,0.966,0.93,Early,Top,,,,,,,,,,,,,,,,,,,,,,0.379399997,0.068400001,40,62,5558
FAM66D,chr8:12144875-12145423,chr8:12122050-12145423,+,donor,TRUE,no,yes,162,FALSE,,,,,,,,,0.314,0.842,0.842,0.968,0.929,0.909,0.982,0.982,Early,Top,,,,,,,,,,,,0.1337,0.0463,56,38,23373
FANCC,chr9:95111345-95111463,chr9:95107269-95111463,-,acceptor,TRUE,no,yes,163,TRUE,0.046,0.046,0.046,0.046,0.046,0.272,Late,Bottom,,,,,,,,,,,,,,,,,,,,,,0.0002,0.555900001,0,,4194
FANCL,chr2:58217434-58221942,chr2:58204226-58221942,-,acceptor,TRUE,yes,yes,164,TRUE,,,,,,,,,0.018,0.018,0.018,0.018,0.018,0.236,0.225,0.216,Late,Bottom,0.836610873,3.044449916,5,,,,1.886047146,-3.180816736,3,,,0.721699995,0.995800006,0,,17716
FBRSL1,chr12:132508350-132525734,chr12:132508350-132509166,+,acceptor,TRUE,no,yes,165,FALSE,0.56,0.56,0.56,0.56,0.737,0.847,Intermediate,Medium,0.445,0.445,0.445,0.445,0.445,0.656,0.671,0.702,Late,Bottom,,,,,,,,,,,,0.860699996,0.4014,0,,816
FBXO25,chr8:431444-432886,chr8:431444-435615,+,acceptor,TRUE,no,yes,166,FALSE,0.541,0.541,0.91,0.9,0.931,0.96,Early,Top,,,,,,,,,,,,,,,,,,,,,,1,0.970000011,0,,4171
FBXO25,chr8:432935-435615,chr8:431444-435615,+,donor,TRUE,no,no,166,FALSE,0.737,0.737,0.954,0.953,0.971,0.98,Early,Bottom,,,,,,,,,,,,,,,,,,,,,,0.989199996,0.994,0,,4171
FBXO44,chr1:11658393-11658533,chr1:11658364-11658736,+,acceptor,TRUE,no,yes,167,FALSE,0.228,0.228,0.228,0.228,0.228,0.513,Late,Medium,,,,,,,,,,,,,,,,,,,,,,0.927500004,0.993400007,0,,372
FBXO44,chr1:11658628-11658736,chr1:11658364-11658736,+,donor,TRUE,no,no,167,FALSE,0.183,0.183,0.183,0.183,0.183,0.465,Late,Medium,,,,,,,,,,,,,,,,,,,,,,0.999700004,0.996500003,0,,372
FEZ1,chr11:125489822-125495836,chr11:125489822-125496121,-,donor,TRUE,yes,yes,168,FALSE,0.012,0.012,0.012,0.012,0.242,0.302,Intermediate,Medium,,,,,,,,,,,5.419883963,-5.191833182,6,-0.349534405,-1.819484804,5,,,,,,0.992499995,0.0483,44,38,6299
FGFR1OP2,chr12:26957743-26963342,chr12:26957743-26963342,+,exon_skip,TRUE,no,yes,169,FALSE,,,,,,,,,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.727,Late,Bottom,,,,,,,,,,,,,,,,5599
FGFR4,chr5:177089693-177089858,chr5:177089693-177090390,+,acceptor,TRUE,yes,yes,170,FALSE,0.011,0.011,0.667,0.667,0.897,0.942,Early,Top,,,,,,,,,,,-6.708621348,-6.860311763,1,0.626234755,6.822558475,3,,,,,,0.0645,0.6083,40,130,697
FGFR4,chr5:177089940-177090390,chr5:177089693-177090390,+,donor,TRUE,yes,no,170,FALSE,0.011,0.011,0.011,0.011,0.879,0.939,Early,Top,,,,,,,,,,,,,,,,,,,,,,0.988000005,0.905099994,36,50,697
FNIP2,chr4:158833628-158833801,chr4:158833628-158835405,+,acceptor,TRUE,no,no,171,FALSE,0.131,0.131,0.131,0.249,0.249,0.633,Intermediate,Top,,,,,,,,,,,,,,,,,,,,,,0.98670001,0.999800003,20,94,1777
FNIP2,chr4:158833890-158835405,chr4:158833628-158835405,+,donor,TRUE,no,yes,171,FALSE,0.161,0.161,0.281,0.281,0.297,0.703,Intermediate,Top,,,,,,,,,,,,,,,,,,,,,,0.999900001,0.9977,16,2,1777
FOXN2,chr2:48334678-48346201,chr2:48314814-48346201,+,donor,FALSE,no,yes,172,FALSE,0.044,0.044,0.044,0.179,0.179,0.208,Intermediate,Bottom,,,,,,,,,,,,,,,,,,,,,,0.0177,0.971800005,0,,31387
G2E3,chr14:30559272-30563746,chr14:30559272-30581076,+,acceptor,FALSE,yes,yes,174,TRUE,0,0,0,0,0,0.163,Late,Bottom,,,,,,,,,,,9.181255995,-3.730671986,2,-1.468447954,-5.723123004,1,,,,,,0.325299999,0.0239,52,2,21804
GATA4,chr8:11698411-11700508,chr8:11692660-11700508,+,donor,FALSE,yes,yes,175,FALSE,0.051,0.051,0.705,0.753,0.906,0.972,Early,Top,0.016,0.016,0.686,0.897,0.897,0.852,0.858,0.858,Early,Top,-4.961995044,2.383864998,3,0.693767476,7.008300763,3,-1.348916174,5.480005592,1,,,0.0027,0.0017,0,,7848
GBAP1,chr1:155217373-155217519,chr1:155217373-155217964,-,donor,TRUE,no,yes,176,FALSE,0.236,0.236,0.236,0.236,0.236,0.648,Late,Top,,,,,,,,,,,,,,,,,,,,,,0.0086,0.745400006,0,,591
GIT2,chr12:109945349-109947256,chr12:109939247-109947256,-,acceptor,TRUE,no,yes,178,FALSE,0.065,0.065,0.273,0.275,0.268,0.459,Early,Top,,,,,,,,,,,,,,,,,,,,,,0.999400008,0.983700007,16,82,8009
GIT2,chr12:109939247-109942842,chr12:109939247-109947256,-,donor,TRUE,yes,yes,177,FALSE,0.015,0.091,0.085,0.124,0.126,0.432,Early,Top,,,,,,,,,,,4.787548505,-3.789297055,2,-2.494701085,-1.937782002,1,,,,,,0.0191,0.977199996,0,,8009
GNB1L,chr22:19824077-19854443,chr22:19821375-19854443,-,acceptor,FALSE,yes,yes,179,FALSE,0.003,0.003,0.003,0.173,0.173,0.407,Intermediate,Top,,,,,,,,,,,4.838130533,-4.388812178,2,-0.254973636,-0.911911732,5,,,,8.07,8.56,0.8764,0.0047,0,,33068
GNB1L,chr22:19821375-19823987,chr22:19821375-19854443,-,donor,FALSE,yes,no,179,FALSE,0.003,0.003,0.144,0.223,0.208,0.269,Intermediate,Bottom,,,,,,,,,,,,,,,,,,,,2.53,8.4,0.924199992,0.0663,24,122,33068
GNG8,chr19:46634725-46636050,chr19:46634725-46636147,-,donor,FALSE,yes,yes,180,FALSE,0.024,0.024,0.345,0.423,0.555,0.832,Early,Top,,,,,,,,,,,-6.505935556,-7.16449331,1,1.36633546,4.864470672,4,,,,,,0.1664,0.0106,0,,1422
GPR173,chrX:53049484-53070988,chrX:53049484-53076525,+,acceptor,TRUE,no,yes,182,FALSE,,,,,,,,,0.267,0.486,0.6,0.668,0.668,0.676,0.746,0.746,Early,Top,,,,,,,,,,,,0.0221,0.962499994,0,,27041
GPSM2,chr1:108885578-108896317,chr1:108885578-108896864,+,acceptor,FALSE,yes,no,183,FALSE,0.001,0.001,0.232,0.386,0.466,0.637,Early,Top,0,0,0.323,0.634,0.686,0.726,0.801,0.797,Early,Top,,,,,,,,,,10.35,10.77,0.0002,0.999800003,28,38,11286
GPSM2,chr1:108896431-108896864,chr1:108885578-108896864,+,donor,FALSE,yes,yes,183,FALSE,0.001,0.001,0.277,0.412,0.496,0.67,Early,Top,0,0,0.287,0.585,0.647,0.736,0.795,0.771,Early,Top,-4.17590533,2.434911075,3,1.365793227,4.121831392,4,-1.048901298,4.44256634,1,6.6,8.01,0.0631,1,32,46,11286
GPT2,chr16:46900883-46906842,chr16:46900790-46906842,+,donor,FALSE,yes,yes,184,FALSE,0.007,0.007,0.179,0.16,0.182,0.194,Early,Bottom,,,,,,,,,,,0.575733944,-5.495058384,8,1.576736834,-0.688687247,5,,,,,,0.002,0.9852,16,10,6052
GPX7,chr1:52606260-52606684,chr1:52602547-52606684,+,donor,FALSE,yes,yes,185,FALSE,0.015,0.015,0.136,0.142,0.104,0.221,Late,Bottom,,,,,,,,,,,0.577383023,-5.500987471,8,1.411982736,-1.177093528,5,,,,,,0.0102,0.937000006,28,118,4137
GRAMD1A,chr19:35000486-35001098,chr19:35000486-35009119,+,acceptor,FALSE,yes,no,186,FALSE,0.011,0.011,0.215,0.229,0.275,0.26,Early,Bottom,,,,,,,,,Early,,,,,,,,,,,10.46,6.93,0.0024,0.993100005,24,34,8633
GRAMD1A,chr19:35001244-35009119,chr19:35000486-35009119,+,donor,TRUE,no,yes,186,FALSE,0.243,0.603,0.644,0.635,0.62,0.976,Early,Top,0.108,0.314,0.488,0.516,0.595,0.605,0.596,0.548,Early,Top,,,,,,,,,,8.59,10.53,0.035,0.927300006,24,110,8633
GREB1,chr2:11580832-11588746,chr2:11580832-11588746,+,exon_skip,FALSE,yes,yes,187,FALSE,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.144,0.143,0.224,Late,Bottom,1.009612361,2.958685579,5,,,,2.400803303,-3.514432279,3,,,,,,,7914
GRIA2,chr4:157220725-157221667,chr4:157221130-157221667,+,donor,TRUE,yes,yes,188,FALSE,,,,,,,,,0.048,0.048,0.048,0.284,0.284,0.348,0.348,0.458,Early,Medium,-1.007615875,9.311371184,9,,,,-0.590240698,0.872815499,4,,,0.998900002,0.998700005,52,2,537
GSTM2,chr1:109670234-109671287,chr1:109669571-109671287,+,donor,TRUE,yes,yes,189,FALSE,0.009,0.009,0.009,0.009,0.168,0.342,Intermediate,Medium,,,,,,,,,,,5.343549839,-5.096609117,6,-0.588596394,-1.725638236,5,,,,,,0.404300001,0.941700006,0,,1716
HAUS2,chr15:42563857-42565446,chr15:42563857-42566607,+,acceptor,FALSE,yes,yes,190,FALSE,0.004,0.004,0.004,0.004,0.143,0.236,Intermediate,Bottom,0.012,0.012,0.012,0.012,0.012,0.248,0.358,0.428,Late,Medium,-1.012578524,3.268966863,4,-0.444155264,-2.317227598,5,-1.412385283,-1.865291632,2,10.35,10.13,0.0461,0.919000006,56,6,2750
HAUS2,chr15:42565880-42566607,chr15:42563857-42566607,+,donor,FALSE,yes,no,190,FALSE,0.001,0.001,0.001,0.001,0.001,0.186,Intermediate,Bottom,0,0,0,0,0,0.194,0.215,0.267,Late,Bottom,,,,,,,,,,10.47,8.57,0.459200001,0.882699996,0,,2750
HDGFL2,chr19:4491835-4492015,chr19:4491835-4493703,+,acceptor,FALSE,yes,yes,191,FALSE,0,0,0.157,0.28,0.384,0.689,Early,Top,0,0,0,0.325,0.383,0.496,0.596,0.596,Early,Top,-3.04234447,2.993332537,4,0.884110245,4.39243118,4,-1.300634075,1.608940207,4,7.67,6.91,0.0031,0.85959999,12,138,1868
HDGFL2,chr19:4492152-4493703,chr19:4491835-4493703,+,donor,FALSE,yes,no,191,FALSE,0,0,0.199,0.216,0.402,0.61,Early,Top,0,0,0,0.253,0.369,0.48,0.528,0.502,Early,Top,,,,,,,,,,6.14,9.26,0.087500001,0.124100002,36,110,1868
HERC2,chr15:28196354-28198378,chr15:28196354-28198378,-,exon_skip,FALSE,no,yes,192,FALSE,,,,,,,,,0.134,0.134,0.134,0.134,0.134,0.134,0.134,0.337,Late,Bottom,,,,,,,,,,,,,,,,2024
HIPK2,chr7:139614493-139620401,chr7:139614412-139620401,-,acceptor,TRUE,no,yes,193,FALSE,,,,,,,,,0.225,0.225,0.225,0.484,0.466,0.545,0.503,0.564,Early,Medium,,,,,,,,,,,,0.998400015,0.999400002,0,,5989
HNRNPA2B1,chr7:26190460-26190993,chr7:26190460-26190993,-,donor,TRUE,no,yes,194,FALSE,0.434,0.434,0.434,0.434,0.554,0.665,Intermediate,Bottom,,,,,,,,,,,,,,,,,,,,,,0.996899992,0.999900001,0,,533
HOOK2,chr19:12774897-12778300,chr19:12774897-12775405,-,donor,TRUE,no,yes,195,FALSE,,,,,,,,,0.048,0.34,0.34,0.398,0.412,0.412,0.443,0.514,Early,Top,,,,,,,,,,,,0.0153,0.839600009,0,,508
HS3ST2,chr16:22815095-22854664,chr16:22815095-22854664,+,exon_skip,FALSE,no,no,196,FALSE,,,,,,,,,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.51,Late,Bottom,,,,,,,,,,,,,,,,39569
HS6ST3,chr13:96091569-96095910,chr13:96091569-96832490,+,acceptor,FALSE,yes,yes,197,TRUE,,,,,,,,,0.003,0.003,0.325,0.748,0.875,0.871,0.947,0.976,Early,Top,-2.251848308,9.179957155,9,,,,-1.333377485,5.032368488,1,,,0.0013,0.998300016,52,2,740921
IFITM10,chr11:1748119-1750359,chr11:1748119-1749015,-,donor,TRUE,no,yes,198,FALSE,0.055,0.055,0.055,0.055,0.055,0.438,Late,Top,,,,,,,,,,,,,,,,,,,,,,0.0038,0.994600004,0,,896
IFT122,chr3:129483682-129483926,chr3:129483682-129488257,+,acceptor,FALSE,yes,yes,199,FALSE,,,,,,,,,0.004,0.004,0.004,0.004,0.247,0.423,0.464,0.713,Intermediate,Top,-1.312466095,9.676524401,9,,,,-2.25190191,-0.530952207,2,10.55,8.63,0.0104,0.985600001,52,94,4575
IFT122,chr3:129484024-129488257,chr3:129483682-129488257,+,donor,FALSE,yes,no,199,FALSE,,,,,,,,,0.002,0.002,0.002,0.002,0.002,0.445,0.399,0.589,Intermediate,Top,,,,,,,,,,4.51,4.12,0.0836,0.989200002,36,26,4575
IFT80,chr3:160381724-160384564,chr3:160381726-160384564,-,acceptor,TRUE,no,yes,200,FALSE,0.42,0.42,0.552,0.552,0.552,0.775,Intermediate,Medium,,,,,,,,,,,,,,,,,,,,,,0.997099996,0.999400002,0,,2838
IGF2,chr11:2135529-2138229,chr11:2135529-2138229,-,exon_skip,TRUE,no,yes,201,FALSE,0.462,0.462,0.462,0.648,0.728,0.788,Intermediate,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,2700
IGFBP7-AS1,chr4:57201820-57203508,chr4:57201820-57204478,+,acceptor,FALSE,yes,yes,202,FALSE,0.01,0.01,0.01,0.01,0.01,0.413,Intermediate,Top,,,,,,,,,,,5.136146514,-3.174264053,2,-2.944006912,-2.313582166,1,,,,8.42,8.23,0.0024,0.0025,24,102,2658
IGFBP7-AS1,chr4:57203595-57204478,chr4:57201215-57204478,+,donor,FALSE,yes,no,202,FALSE,0.004,0.034,0.004,0.22,0.22,0.252,Intermediate,Bottom,,,,,,,,,,,,,,,,,,,,1.19,8.4,0.1886,0.0029,0,,3263
IGLON5,chr19:51320670-51322064,chr19:51311926-51322064,+,donor,FALSE,yes,yes,203,FALSE,0.015,0.015,0.183,0.349,0.328,0.396,Early,Top,,,,,,,,,,,-6.932656073,-8.103655962,1,1.695225301,2.168291196,2,,,,,,0.0085,0.995000005,28,94,10138
IKZF4,chr12:56021580-56025054,chr12:56021580-56025054,+,exon_skip,TRUE,no,yes,204,FALSE,,,,,,,,,0.167,0.167,0.167,0.143,0.167,0.546,0.546,0.822,Late,Top,,,,,,,,,,,,,,,,3474
IMMP1L,chr11:31463305-31469740,chr11:31463305-31509519,-,donor,TRUE,no,yes,205,FALSE,,,,,,,,,0.248,0.248,0.248,0.248,0.438,0.438,0.438,0.506,Intermediate,Bottom,,,,,,,,,,,,0.01,0.981599998,20,6,46214
INPP1,chr2:190362687-190365113,chr2:190362687-190366695,+,acceptor,TRUE,yes,yes,206,FALSE,0.004,0.004,0.004,0.004,0.004,0.223,Late,Bottom,,,,,,,,,,,7.877907484,-3.387632455,2,-1.665799612,-4.824040922,1,,,,,,0.2756,0.986199999,0,,4008
INSR,chr19:7169831-7170537,chr19:7168094-7170537,-,acceptor,FALSE,yes,yes,207,FALSE,0.015,0.015,0.457,0.578,0.881,0.979,Early,Top,0.005,0.267,0.636,0.978,0.981,0.981,0.981,0.962,Early,Top,-4.898488462,2.399130594,3,0.485849688,6.646871231,3,-1.137689957,5.551629575,1,,,0.0651,0.972500002,0,,2443
IP6K2,chr3:48694824-48695090,chr3:48693179-48695090,-,acceptor,TRUE,no,yes,208,FALSE,0.102,0.102,0.102,0.102,0.223,0.318,Intermediate,Bottom,,,,,,,,,,,,,,,,,,,,,,0.830099997,0.999100006,16,6,1911
IQCE,chr7:2559217-2564878,chr7:2559217-2567116,+,acceptor,FALSE,yes,no,209,FALSE,0.001,0.001,0.001,0.112,0.429,0.818,Intermediate,Top,0.004,0.004,0.004,0.004,0.004,0.004,0.283,0.704,Late,Top,,,,,,,,,,7.8,10.65,0.159300001,0.0379,20,98,7899
IQCE,chr7:2565071-2567116,chr7:2559217-2567116,+,donor,FALSE,yes,yes,209,FALSE,0.003,0.003,0.003,0.199,0.504,0.849,Intermediate,Top,0.007,0.007,0.007,0.007,0.007,0.408,0.45,0.819,Late,Top,-2.206516746,3.435078359,4,1.100819462,5.114271879,4,-2.13773784,-1.669665912,2,5.84,11.88,0.150400002,0.999900001,48,126,7899
IRAK4,chr12:43759016-43760925,chr12:43759016-43768103,+,acceptor,TRUE,yes,yes,210,FALSE,0.029,0.222,0.222,0.222,0.222,0.503,Early,Top,,,,,,,,,,,-2.261317054,-6.59450465,7,2.756633434,0.637881099,2,,,,,,0.547599995,0.0033,16,106,9087
ISL2,chr15:76336941-76340276,chr15:76336941-76340276,+,exon_skip,FALSE,yes,yes,211,FALSE,0.045,0.045,0.287,0.327,0.367,0.363,Early,Medium,,,,,,,,,,,-6.854668702,-8.04171796,1,1.875488926,2.379466808,2,,,,,,,,,,3335
ISLR2,chr15:74128307-74130554,chr15:74129956-74130554,+,acceptor,TRUE,no,yes,212,FALSE,0.444,0.444,0.716,0.872,0.933,0.933,Early,Top,,,,,,,,,,,,,,,,,,,,7.67,8.05,0.861499995,0.412599997,24,78,598
ISLR2,chr15:74130665-74131207,chr15:74130621-74131207,+,donor,FALSE,yes,no,212,FALSE,0,0,0,0,0,0.156,Early,Bottom,,,,,,,,,,,9.211411818,-3.739840783,2,-1.498306288,-5.724936313,1,,,,11.81,11.37,0.0044,0.952399993,24,34,586
ISOC2,chr19:55455845-55456349,chr19:55455330-55456349,-,acceptor,TRUE,no,no,213,FALSE,0.31,0.31,0.31,0.31,0.31,0.58,Late,Bottom,,,,,,,,,,,,,,,,,,,,,,0.0904,0.835699999,0,,1019
ISOC2,chr19:55455330-55455636,chr19:55455330-55456349,-,donor,TRUE,no,yes,213,FALSE,0.235,0.235,0.235,0.235,0.235,0.54,Late,Medium,,,,,,,,,,,,,,,,,,,,,,0.791099995,0.0078,0,,1019
KCNQ2,chr20:63439708-63444659,chr20:63439708-63444659,-,exon_skip,FALSE,yes,yes,214,FALSE,0,0,0.221,0.209,0.215,0.217,Early,Bottom,0.015,0.309,0.409,0.437,0.406,0.439,0.417,0.379,Early,Medium,-3.351146815,3.581741606,4,1.521812095,-0.597910034,5,0.245094464,1.179867231,4,,,,,,,4951
KCNT1,chr9:135786521-135791797,chr9:135786521-135791797,+,exon_skip,TRUE,no,yes,215,FALSE,0.686,0.686,0.686,0.686,0.686,0.97,Late,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,5276
KCTD15,chr19:33799719-33800137,chr19:33799718-33800428,+,acceptor,FALSE,yes,yes,220,FALSE,0.021,0.021,0.253,0.228,0.448,0.421,Early,Top,0.027,0.027,0.027,0.553,0.553,0.616,0.689,0.689,Early,Top,-3.376651208,2.895503534,4,1.59495707,2.62466972,2,-1.278366125,3.13301374,1,-17.77,-28.12,0.979899997,0.062300001,48,46,710
KCTD15,chr19:33799718-33800138,chr19:33799718-33800428,+,acceptor,FALSE,yes,no,219,FALSE,0.021,0.021,0.019,0.134,0.153,0.321,Intermediate,Medium,,,,,,,,,,,,,,,,,,,,1.86,7.48,0.980899996,0.067000001,28,74,710
KCTD15,chr19:33798766-33799594,chr19:33798766-33800428,+,acceptor,TRUE,no,yes,217,FALSE,0.053,0.053,0.053,0.152,0.179,0.312,Intermediate,Bottom,,,,,,,,,,,,,,,,,,,,,,0.066600001,0.968399996,0,,1662
KCTD15,chr19:33798390-33798668,chr19:33796987-33798668,+,donor,FALSE,yes,yes,216,FALSE,0.001,0.001,0.001,0.001,0.001,0.204,Late,Bottom,,,,,,,,,,,8.077308044,-3.324408742,2,-1.409885537,-5.190773352,1,,,,,,0.999900001,0.404799998,0,,1681
KCTD15,chr19:33800186-33800428,chr19:33798766-33800428,+,donor,FALSE,yes,yes,219,FALSE,0,0,0,0.02,0.035,0.22,Intermediate,Bottom,,,,,,,,,,,7.808485259,-3.390621412,2,-1.363002853,-4.639366544,1,,,,-1.74,8.86,0.851499993,0.982599992,28,26,1662
KCTD15,chr19:33800189-33800427,chr19:33798766-33800428,+,donor,FALSE,yes,no,220,FALSE,,,,,,,Early,,0.001,0.001,0.001,0.001,0.001,0.142,0.2,0.206,Early,Bottom,,,,,,,,,,-17.54,-14.55,0.866899997,0.986899996,48,6,1662
KCTD15,chr19:33798767-33799593,chr19:33798767-33799593,+,exon_skip,FALSE,no,yes,218,FALSE,,,,,,,,,0.001,0.001,0.001,0.001,0.001,0.155,0.204,0.211,Late,Bottom,,,,,,,,,,,,,,,,826
KDM1B,chr6:18213782-18214505,chr6:18213781-18215007,+,acceptor,FALSE,yes,no,221,FALSE,,,,,,,,,0.001,0.001,0.178,0.22,0.205,0.227,0.302,0.257,Early,Bottom,,,,,,,,,,-7.32,-10.86,0.0017,0.950099993,0,,1226
KDM1B,chr6:18214679-18215006,chr6:18213781-18215007,+,donor,FALSE,yes,yes,221,FALSE,,,,,,,,,0.001,0.001,0.001,0.231,0.219,0.255,0.342,0.342,Early,Medium,-0.402290731,9.408006847,9,,,,0.391155529,-0.043408968,4,-21.22,-6.73,0.0189,0.350100004,0,,1226
KIAA0753,chr17:6580975-6589779,chr17:6579864-6589779,-,acceptor,FALSE,yes,yes,222,FALSE,0.004,0.004,0.004,0.168,0.275,0.59,Intermediate,Top,0.02,0.02,0.02,0.02,0.02,0.342,0.342,0.342,Late,Medium,-2.106026459,3.455459716,4,-0.217630316,0.955073039,5,-1.303979075,-1.919830747,2,6.38,8.68,0.343899998,0.962900007,40,42,9915
KIAA0753,chr17:6579864-6580932,chr17:6579864-6589779,-,donor,FALSE,yes,no,222,FALSE,0.006,0.006,0.006,0.006,0.212,0.515,Intermediate,Top,0.032,0.032,0.032,0.032,0.032,0.295,0.313,0.319,Late,Medium,,,,,,,,,,6.64,9.36,0.0388,0.976600003,40,2,9915
KIAA1109,chr4:122325320-122325855,chr4:122325320-122328104,+,acceptor,TRUE,no,no,223,FALSE,0.559,0.559,0.765,0.921,0.921,0.917,Early,Medium,,,,,,,,,,,,,,,,,,,,,,0.994400001,0.997900015,0,,2784
KIAA1109,chr4:122325917-122328104,chr4:122325320-122328104,+,donor,TRUE,no,yes,223,FALSE,0.448,0.448,0.707,0.889,0.889,0.885,Early,Top,,,,,,,,,,,,,,,,,,,,,,0.999700004,0.999900001,0,,2784
KIF1C,chr17:5014837-5019849,chr17:5014837-5019996,+,acceptor,FALSE,no,yes,224,FALSE,0.223,0.223,0.407,0.389,0.389,0.821,Early,Top,,,,,,,,,,,,,,,,,,,,,,0.970600009,0.998500007,20,38,5159
KIF1C,chr17:5019871-5019996,chr17:5014837-5019996,+,donor,FALSE,no,no,224,FALSE,0.269,0.269,0.269,0.405,0.405,0.838,Early,Top,,,,,,,,,,,,,,,,,,,,,,0.976599997,0.909899998,20,18,5159
KIF21A,chr12:39370261-39386971,chr12:39370261-39442927,-,donor,FALSE,yes,yes,225,FALSE,,,,,,,,,0.024,0.024,0.024,0.024,0.024,0.201,0.211,0.203,Late,Bottom,0.846295703,3.116228731,5,,,,1.881077792,-3.155611387,3,,,0.0088,0.930900007,0,,72666
KIF21A,chr12:39326324-39330746,chr12:39326324-39330746,-,exon_skip,TRUE,no,yes,226,FALSE,,,,,,,,,0.203,0.203,0.203,0.203,0.203,0.203,0.203,0.409,Late,Bottom,,,,,,,,,,,,,,,,4422
