gene_name,paste_into_igv_junction,junc_cat,baseline_PSI,contrast_PSI,comparison,strand,is_cryptic,n_significant_data
RAB4B-EGLN2,chr19:40778391-40786665,annotated,0.0239,0.1516,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
RAB4B-EGLN2,chr19:40778391-40783778,ambig_gene,0.0179,0.132,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
ZNF266,chr19:9418895-9419051,annotated,0.0466,0.1684,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
GAK,chr4:867432-870711,novel_exon_skip,0.005,0.1139,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
GAK,chr4:867432-870711,novel_exon_skip,0.0055,0.1337,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
WASHC1,chr9:19425-19496,none,0.0455,0.2607,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,2
ACBD3,chr1:226156780-226159184,novel_acceptor,0.0063,0.1454,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,2
TANGO2,chr22:20017192-20036760,annotated,0.0361,0.12,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
OSBP2,chr22:30890973-30893463,annotated,0.0068,0.2891,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
OSBP2,chr22:30890973-30893463,annotated,0.0058,0.1534,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
OSBP2,chr22:30894464-30905836,none,0.0055,0.1685,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
ZNF267,chr16:31873969-31880725,novel_acceptor,0.0295,0.1217,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
COMMD6,chr13:75530266-75537499,annotated,0.0452,0.1035,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
NADSYN1,chr11:71458544-71460722,novel_exon_skip,0.0052,0.1156,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
NADSYN1,chr11:71458544-71460722,novel_exon_skip,0.0073,0.2691,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
NADSYN1,chr11:71460213-71460722,annotated,0.0233,0.1437,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
TBL1XR1,chr3:177034325-177037637,annotated,0.019,0.1362,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,2
ZNF518A,chr10:96130106-96132586,novel_donor,0.0417,0.1511,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
CCDC159,chr19:11350199-11352057,annotated,0.0087,0.134,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
SMYD3,chr1:245863886-245874966,novel_donor,0.0211,0.125,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
ZNF566,chr19:36476616-36489377,novel_donor,0.0012,0.1152,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
ZNF566,chr19:36476616-36489131,novel_donor,0.0126,0.1532,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
ARAP1,chr11:72701784-72702904,none,0.0188,0.1908,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
ARAP1,chr11:72710587-72711430,novel_exon_skip,0.0232,0.1764,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,2
ARAP1,chr11:72710587-72711430,novel_exon_skip,0.0233,0.1891,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,2
CCDC157,chr22:30374091-30376259,annotated,0.0245,0.1874,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
C11orf95,chr11:63764598-63765807,novel_exon_skip,0.0176,0.1779,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
CCDC9B,chr15:40335700-40336574,novel_exon_skip,0.0256,0.2778,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
CCDC9B,chr15:40335700-40336574,novel_exon_skip,0.0266,0.2196,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
ZGPAT,chr20:63709164-63732003,ambig_gene,3e-04,0.2064,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,6
ZGPAT,chr20:63732045-63733219,ambig_gene,6e-04,0.1696,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,6
UAP1L1,chr9:137077821-137078502,annotated,0.0325,0.1744,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
CEP290,chr12:88086789-88087780,novel_acceptor,0.0067,0.1117,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,4
SCAMP5,chr15:74995673-75007413,novel_acceptor,0.0372,0.1144,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
INPP5B,chr1:37943669-37945756,novel_exon_skip,0.0296,0.1433,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
INPP5B,chr1:37946334-37946774,novel_donor,0.0128,0.1667,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
SLC26A11,chr17:80220496-80221548,annotated,0.0225,0.2104,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
SLC26A11,chr17:80220496-80221548,annotated,0.0248,0.2118,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
MTA1,chr14:105466742-105469467,annotated,0.0462,0.1042,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
FAAP100,chr17:81551203-81553074,annotated,0.0238,0.1988,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
KLHL32,chr6:97064726-97113783,novel_exon_skip,0.0046,0.1688,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
RILPL1,chr12:123499536-123520095,novel_donor,0.0278,0.1478,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,2
ZNF420,chr19:37078570-37127128,novel_exon_skip,0.0382,0.293,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,3
ZNF420,chr19:37078570-37127128,novel_exon_skip,0.0315,0.287,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,3
ZNF525,chr19:53375896-53384970,annotated,0.0471,0.1343,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
ZDHHC18,chr1:26853212-26853725,none,0.0453,0.154,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
PKD1P4,chr16:18349744-18350588,novel_exon_skip,0.0364,0.3793,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,2
PKD1P4,chr16:18349744-18350890,novel_exon_skip,0.0274,0.1159,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,2
PKD1P4,chr16:18349744-18350588,novel_exon_skip,0.0249,0.2983,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,2
ZDHHC11B,chr5:748559-751133,annotated,0.0032,0.1631,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
PKD1P3,chr16:14919428-14920272,novel_exon_skip,0.0383,0.2341,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
POU6F1,chr12:51196173-51197770,annotated,0.0396,0.128,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
KIF18B,chr17:44934617-44935259,novel_exon_skip,0.0475,0.1355,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,2
ZNF395,chr8:28375382-28386004,novel_combo,0.0081,0.1527,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
NBR1,chr17:43170943-43171074,novel_acceptor,0.016,0.1577,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
NPIPB13,chr16:30240242-30245454,annotated,0.0472,0.1083,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
NPIPB13,chr16:30223456-30224226,none,9e-04,0.2226,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
LINC01089,chr12:121801808-121802879,annotated,0.0044,0.1895,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
HNRNPH1,chr5:179630342-179634065,novel_acceptor,0.0017,0.1192,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
ROBO1,chr3:78746900-79589824,novel_exon_skip,0.0197,0.224,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
NIPA1,chr15:22774313-22810749,annotated,0.0048,0.1007,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
C2CD2L,chr11:119108096-119110102,none,0.0443,0.1284,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
ZFAND4,chr10:45653059-45672272,novel_combo,0.0404,0.1274,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
TUBB6,chr18:12311053-12344049,annotated,0.0377,0.1831,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
PLEC,chr8:143922395-143926784,annotated,0.049,0.2245,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
AQP11,chr11:77590612-77603555,none,0.0057,0.1683,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
ZNF678,chr1:227655763-227677179,novel_donor,0.0184,0.2085,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
AC138969.4,chr16:16317777-16318923,ambig_gene,0.0079,0.1042,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
FAM120C,chrX:54081460-54085023,novel_donor,0.0158,0.1499,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
WDR27,chr6:169658358-169659451,annotated,0.0198,0.1451,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,2
WDR27,chr6:169658358-169659451,annotated,0.0212,0.1492,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,2
ZNF548,chr19:57390845-57392788,annotated,0.0217,0.1269,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
ZNF548,chr19:57390845-57392788,annotated,0.0217,0.125,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
PCBP3,chr21:45933162-45933195,none,0.0047,0.2553,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
PCBP3,chr21:45933194-45933227,none,6e-04,0.1072,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
GOLGA6L4,chr15:84240142-84240164,none,0.003,0.2507,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
ROR1,chr1:64159171-64171209,none,0.0198,0.2021,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
ROR1,chr1:64140272-64156938,none,0.0161,0.3282,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,2
ROR1,chr1:64156992-64159029,none,0.0166,0.2295,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
BICD2,chr9:92713461-92715253,annotated,0.0092,0.2249,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,2
ZSCAN23,chr6:28435607-28443399,annotated,0.0192,0.1439,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
ZSCAN23,chr6:28435607-28443399,annotated,0.0469,0.247,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
ZNF107,chr7:64666285-64669037,annotated,0.0301,0.1321,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
ZNF107,chr7:64679336-64690399,annotated,0.0389,0.192,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
TSC22D2,chr3:150438354-150457076,annotated,0.0416,0.1845,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
RUSC2,chr9:35560852-35560959,none,0.0469,0.1883,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
ZNF814,chr19:57874338-57874423,none,0.0035,0.1428,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
AMZ2P1,chr17:64973517-64974951,novel_donor,0.0489,0.2079,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
EML6,chr2:54900896-54901941,novel_combo,0.0145,0.1206,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
TENM3,chr4:182598822-182600924,novel_donor,0.01,0.1873,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
TRAM2-AS1,chr6:52577651-52578050,annotated,0.0354,0.1908,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,2
SH2B1,chr16:28869383-28872190,novel_exon_skip,0.0489,0.1595,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,2
PUF60,chr8:143827536-143828984,annotated,0.0469,0.1327,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
LYSMD4,chr15:99729731-99731718,annotated,0.0119,0.1194,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
EP400,chr12:131992230-132005077,novel_exon_skip,0.0095,0.7169,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,10
EP400,chr12:131992230-132005077,novel_exon_skip,0.0099,0.7299,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,10
EP400,chr12:131995013-132005076,none,0.0069,0.1246,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,3
HS6ST3,chr13:96091569-96095910,novel_acceptor,0.0377,0.7868,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
ZNF749,chr19:57435593-57441885,annotated,0.0194,0.1905,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
ZNF749,chr19:57435667-57443291,novel_combo,0.0352,0.112,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
AC002398.9,chr19:35746523-35752176,annotated,0.0417,0.1949,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
ELAVL3,chr19:11463662-11466172,novel_acceptor,0.007,0.6974,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,8
ELAVL3,chr19:11463663-11466171,none,0.018,0.1317,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
ELAVL3,chr19:11466276-11466607,none,0.0139,0.1248,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,2
ELAVL3,chr19:11458611-11463496,novel_donor,0.0032,0.6787,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,8
ELAVL3,chr19:11458612-11463495,none,0.018,0.1407,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
ZNF781,chr19:37676394-37686451,annotated,0.0364,0.1017,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,2
ZMYM1,chr1:35097566-35099752,novel_acceptor,0.0414,0.2164,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
KIAA1671,chr22:25177523-25181698,none,0.0074,0.5993,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
ADARB1,chr21:45181972-45182585,novel_donor,0.0242,0.1105,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
LINC00632,chrX:140713490-140713494,none,0.0071,0.1835,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
PJVK,chr2:178458627-178459193,annotated,0.0044,0.1055,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
PJVK,chr2:178459269-178460348,annotated,0.006,0.146,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
ALG3,chr3:184243630-184244601,novel_exon_skip,0.0246,0.114,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
FANCG,chr9:35076583-35077264,novel_exon_skip,0.0337,0.155,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
FANCG,chr9:35076583-35077264,novel_exon_skip,0.038,0.1351,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
MEG8,chr14:100980663-100982509,annotated,0.0376,0.1257,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
MEG8,chr14:100988790-100993835,annotated,0.0051,0.1184,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
MEG8,chr14:100988790-100993835,annotated,0.0057,0.1383,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
NUTM2E,chr10:79828451-79838309,novel_donor,0.0048,0.1984,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
RP11-110G21.1,chr8:51899846-51946436,annotated,0.0383,0.2131,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
C10orf143,chr10:130064383-130068486,novel_donor,0.0183,0.182,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
TVP23C-CDRT4,chr17:15440285-15488181,ambig_gene,0.0207,0.1277,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
RP11-182J1.14,chr15:84389851-84390715,novel_exon_skip,0.0435,0.1524,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
CORO7,chr16:4367442-4387986,ambig_gene,0.0136,0.1881,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,5
NBPF15,chr1:144424862-144427047,novel_exon_skip,0.0213,0.2158,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
RP1-224A6.11,chr1:22025643-22030283,novel_acceptor,0.0221,0.1816,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
RP11-342L8.3,chr6:79537712-79538728,annotated,0.014,0.1821,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
RP11-559F19.4,chr4:153223039-153270338,annotated,0.0379,0.2522,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
ZNF665,chr19:53175571-53182884,annotated,0.0467,0.2171,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
ENTPD6,chr20:25218615-25221231,none,0.036,0.1335,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
ENTPD6,chr20:25218615-25221231,none,0.0481,0.1872,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
ENTPD6,chr20:25224703-25224879,none,0.036,0.1515,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
ZNF615,chr19:51994837-52001813,annotated,0.0305,0.1601,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
TPM2,chr9:35684550-35685064,annotated,0.0297,0.1217,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,2
ZNF808,chr19:52543347-52553107,annotated,0.0242,0.1477,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
ZNF808,chr19:52543347-52553107,annotated,0.0283,0.2018,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
TECPR1,chr7:98244693-98244928,novel_donor,0.0286,0.2082,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
NYNRIN,chr14:24411450-24412644,novel_acceptor,0.0227,0.1615,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,3
MEG3,chr14:100845533-100845876,annotated,0.0486,0.1371,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
NUTM2A-AS1,chr10:87207808-87288442,annotated,0.0397,0.2392,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
RPL23AP53,chr8:216407-219290,novel_acceptor,0.0247,0.1853,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
RP11-535M15.1,chr9:96719685-96720966,novel_donor,0.0208,0.1322,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
RP5-864K19.4,chr1:38860239-38913540,annotated,0.0047,0.1487,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
LAMTOR5-AS1,chr1:110347887-110351191,novel_acceptor,0.0267,0.155,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
RPL13P5,chr12:6875758-6882196,ambig_gene,0.0295,0.1034,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
RP11-92A5.2,chr4:155208176-155208365,novel_donor,0.0404,0.1638,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
FAM66D,chr8:12145700-12168646,annotated,0.0484,0.1843,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
P2RX5-TAX1BP3,chr17:3672493-3679590,annotated,0.0371,0.167,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
BCL2L2-PABPN1,chr14:23308199-23319735,annotated,0.0408,0.2401,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
ZNF285,chr19:44394541-44396663,none,0.0339,0.214,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
NBPF12,chr1:146951489-146960109,novel_exon_skip,0.0023,0.2261,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
NBPF12,chr1:146951489-146960109,novel_exon_skip,0.0018,0.2022,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
RP1-283E3.8,chr1:1709640-1719358,ambig_gene,0.0165,0.11,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,8
GTF2IP20,chr1:223988154-223989406,novel_donor,0.0064,0.1549,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
RP11-479O9.4,chr7:65715848-65726771,none,0.0113,0.1522,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
RP11-834C11.14,chr12:54019500-54028696,novel_donor,0.0241,0.1242,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
HERC2P2,chr15:22560935-22561060,novel_acceptor,3e-04,0.2137,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
HERC2P2,chr15:22560935-22561060,novel_acceptor,0.001,0.2574,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
PCGF2,chr17:38737435-38738353,novel_acceptor,0.0141,0.1817,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
AP003900.6,chr21:10340478-10342616,annotated,0.0357,0.1978,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
POLR2J3,chr7:102566736-102566997,annotated,0.0358,0.115,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
POLR2J3,chr7:102562212-102566997,annotated,0.0496,0.117,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
LINC00511,chr17:72420964-72422747,annotated,0.0434,0.1305,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
PRH1,chr12:10884275-11047020,ambig_gene,0.0046,0.1039,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
RP11-295G20.2,chr1:231524541-231527338,annotated,0.0491,0.122,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
PRKAG2-AS1,chr7:151877866-151878860,novel_acceptor,0.0132,0.259,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
PNMA2,chr8:26511770-26513816,annotated,0.0345,0.2205,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
ARHGDIG,chr16:280753-282025,ambig_gene,0.0094,0.1768,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
NPIPB5,chr16:22534523-22534742,none,0.0087,0.1342,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
RP11-148K1.12,chr7:151075508-151076013,none,0.0224,0.1581,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,2
AC068533.7,chr7:66092663-66127704,annotated,0.0459,0.1346,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
RTL1,chr14:100884874-100903291,novel_exon_skip,0.0457,0.2296,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
CTD-2323K18.1,chr15:75527261-75570230,annotated,0.0391,0.1158,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
STRADA,chr17:63723972-63725703,none,0.0445,0.1032,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
CTC-398G3.6,chr19:11466276-11466607,none,0.014,0.1319,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,2
EGLN2,chr19:40807275-40807483,none,0.0493,0.1455,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
RP11-834C11.12,chr12:54019500-54028696,novel_donor,0.0241,0.1242,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
RP4-583P15.15,chr20:63709164-63732003,ambig_gene,3e-04,0.2064,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,6
RP4-583P15.15,chr20:63732045-63733219,ambig_gene,6e-04,0.1696,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,6
ZNF658,chr9:66903576-66908256,novel_combo,0.047,0.2228,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
ASIC3,chr7:151052237-151052574,annotated,0.0034,0.1239,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,2
HAGLR,chr2:176164168-176167568,none,0.0179,0.1388,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
ENTPD1-AS1,chr10:95904938-96089266,novel_combo,0.0457,0.1134,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
HSBP1L1,chr18:79966678-79968095,novel_acceptor,0.012,0.1112,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
AC108488.4,chr2:3533190-3534113,annotated,0.0357,0.1094,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
ZNF702P,chr19:53008651-53037770,novel_acceptor,0.0024,0.1886,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
CKMT2-AS1,chr5:81213816-81301287,novel_acceptor,4e-04,0.1114,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,2
MAILR,chr8:102885713-102937624,novel_donor,0.0324,0.177,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
ZNF254,chr19:24049548-24091901,ambig_gene,0.0091,0.1481,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
FAM24B,chr10:122850520-122855645,annotated,0.0274,0.1041,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
LINC00339,chr1:22025639-22030283,ambig_gene,0.0498,0.129,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
HLA-DPB1,chr6:33082138-33083514,annotated,0.0062,0.1623,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
CPTP,chr1:1325102-1327241,annotated,0.0458,0.1767,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
CPTP,chr1:1325102-1327241,annotated,0.0466,0.1903,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
C2orf92,chr2:97675928-97677419,annotated,0.0303,0.1632,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
C2orf92,chr2:97675928-97688895,annotated,0.0046,0.1209,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
RP11-66B24.2,chr15:100850170-100855231,ambig_gene,0.0186,0.1712,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
SP2-AS1,chr17:47897440-47898112,annotated,0.0145,0.172,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
C22orf39,chr22:19410778-19447665,ambig_gene,0.044,0.1907,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
RP11-108K14.8,chr10:133381659-133388956,annotated,0.0252,0.2325,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
FAM106A,chr17:18527760-18528573,annotated,0.0481,0.1758,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
FAM106A,chr17:18528747-18542088,annotated,0.0219,0.1016,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
RP11-201K10.3,chr1:155172628-155173221,novel_exon_skip,0.0284,0.1184,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
RP11-420C9.1,chr2:65205312-65207079,annotated,0.0209,0.1528,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
MLLT6,chr17:38720747-38722678,novel_exon_skip,0.0274,0.158,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,3
CH507-154B10.2,chr21:6986648-6992110,annotated,0.0288,0.2211,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
CH507-154B10.1,chr21:6659578-6666429,novel_combo,0.0216,0.1941,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
CH507-154B10.1,chr21:6659578-6666429,novel_combo,0.0214,0.1941,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
RP11-566K11.7,chr16:89908458-89908655,none,0.0247,0.1841,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
PKD1P6-NPIPP1,chr16:15123567-15125691,ambig_gene,0.0447,0.1084,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
PKD1P6-NPIPP1,chr16:15128389-15130220,ambig_gene,0.0052,0.1059,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
PIP4K2B,chr17:38795743-38799266,novel_acceptor,0.0147,0.2164,controlbrownskndz-tdp43kdbrownskndz,-,TRUE,1
CTD-2515O10.6,chr16:30053499-30063729,annotated,0.0161,0.2056,controlbrownskndz-tdp43kdbrownskndz,+,TRUE,1
