paste_into_igv_junction,color_gene_name,Control_Control,Cycloheximide_Control,Control_TDP43KD,Cycloheximide_TDP43KD,normal_cryptic_chx,chx_cryptic,chx_effect,gene_name,gene_id,ensgene
chr6:152247944-152249161,NMD rescued,0.0233,0.0017,0.1221,0.5013,TRUE,TRUE,NMD rescued,SYNE1,ENSG00000131018.25,ENSG00000131018
chr6:152244656-152247823,NMD rescued,0.0233,0.0017,0.1196,0.2914,TRUE,TRUE,NMD rescued,SYNE1,ENSG00000131018.25,ENSG00000131018
chr15:28202633-28206240,non-NMD rescued,0.017,0.0289,0.0072,0.1048,FALSE,TRUE,Dark cryptic,HERC2,ENSG00000128731.18,ENSG00000128731
chr11:17867003-17878208,non-NMD rescued,0.0088,0.0242,0.1939,0.2838,TRUE,TRUE,NMD rescued,SERGEF,ENSG00000129158.11,ENSG00000129158
chr3:15256303-15258831,non-NMD rescued,0.0062,0.014,0.103,0.1058,TRUE,TRUE,non-NMD rescued,SH3BP5,ENSG00000131370.16,ENSG00000131370
chr5:112267284-112275326,non-NMD rescued,0.0259,0.0119,0.9932,0.9902,TRUE,TRUE,PSI > 95% at baseline,EPB41L4A,ENSG00000129595.14,ENSG00000129595
chr5:112266330-112267210,non-NMD rescued,0.0259,0.0119,0.9939,0.9913,TRUE,TRUE,PSI > 95% at baseline,EPB41L4A,ENSG00000129595.14,ENSG00000129595
chr19:13979542-13980612,non-NMD rescued,0.0208,0.04,0.0055,0.1038,FALSE,TRUE,Dark cryptic,RFX1,ENSG00000132005.9,ENSG00000132005
chr1:48298893-48355670,non-NMD rescued,0.0338,0.0456,0.0605,0.102,FALSE,TRUE,non-NMD rescued,SPATA6,ENSG00000132122.12,ENSG00000132122
chr1:48384234-48385309,NMD rescued,0.01,0.0464,0.0264,0.1517,FALSE,TRUE,Dark cryptic,SPATA6,ENSG00000132122.12,ENSG00000132122
chr7:55409781-55411907,NMD rescued,0.0083,0.0487,0.002,0.1255,FALSE,TRUE,Dark cryptic,LANCL2,ENSG00000132434.10,ENSG00000132434
chr9:135857673-135862467,non-NMD rescued,0.0042,0.0359,0.0039,0.1034,FALSE,TRUE,Dark cryptic,CAMSAP1,ENSG00000130559.19,ENSG00000130559
chr20:62003274-62006510,NMD rescued,0.0136,0.0012,0.0021,0.1326,FALSE,TRUE,Dark cryptic,TAF4,ENSG00000130699.19,ENSG00000130699
chr16:70669046-70674306,non-NMD rescued,0.0017,0.0224,0.1665,0.169,TRUE,TRUE,non-NMD rescued,MTSS2,ENSG00000132613.15,ENSG00000132613
chr13:26676724-26680035,non-NMD rescued,0.008,0.0283,0.0268,0.1032,FALSE,TRUE,Dark cryptic,WASF3,ENSG00000132970.14,ENSG00000132970
chr13:39694725-39719236,NMD rescued,0.0172,0.0413,0.0207,0.1229,FALSE,TRUE,Dark cryptic,COG6,ENSG00000133103.17,ENSG00000133103
chr14:102876525-102878240,NMD rescued,0.0056,0.0017,0.1236,0.7985,TRUE,TRUE,NMD rescued,TRAF3,ENSG00000131323.16,ENSG00000131323
chr14:102878329-102886189,NMD rescued,0.0128,0.0036,0.1582,0.7947,TRUE,TRUE,NMD rescued,TRAF3,ENSG00000131323.16,ENSG00000131323
chr3:15562983-15563358,non-NMD rescued,0.0147,0.0326,0.0213,0.1187,FALSE,TRUE,Dark cryptic,HACL1,ENSG00000131373.15,ENSG00000131373
chr11:13372803-13380789,NMD rescued,0.0148,0.0195,0.0025,0.1167,FALSE,TRUE,Dark cryptic,ARNTL,ENSG00000133794.20,ENSG00000133794
chr8:131904322-131905307,NMD rescued,0.0135,0.0133,0.0901,0.2038,FALSE,TRUE,Dark cryptic,EFR3A,ENSG00000132294.15,ENSG00000132294
chr5:69259936-69261323,non-NMD rescued,0.0018,0.0024,0.0575,0.1489,FALSE,TRUE,Dark cryptic,CDK7,ENSG00000134058.12,ENSG00000134058
chr5:69259936-69261377,NMD rescued,0.0018,3e-04,0.1179,0.2868,TRUE,TRUE,NMD rescued,CDK7,ENSG00000134058.12,ENSG00000134058
chr5:69261458-69262205,NMD rescued,0.0014,0.0022,0.2318,0.5359,TRUE,TRUE,NMD rescued,CDK7,ENSG00000134058.12,ENSG00000134058
chr15:37096430-37097934,non-NMD rescued,0.0121,8e-04,0.3917,0.3517,TRUE,TRUE,non-NMD rescued,MEIS2,ENSG00000134138.20,ENSG00000134138
chr15:37095614-37097934,NMD rescued,2e-04,0.0018,0.1102,0.2897,TRUE,TRUE,NMD rescued,MEIS2,ENSG00000134138.20,ENSG00000134138
chr15:37095614-37099455,NMD rescued,8e-04,0.014,0.1323,0.3743,TRUE,TRUE,NMD rescued,MEIS2,ENSG00000134138.20,ENSG00000134138
chr15:37096430-37097934,NMD rescued,0.0136,0.0011,0.4744,0.6438,TRUE,TRUE,NMD rescued,MEIS2,ENSG00000134138.20,ENSG00000134138
chr3:128153823-128217868,non-NMD rescued,0.0204,0.049,0.0324,0.1299,FALSE,TRUE,Dark cryptic,EEFSEC,ENSG00000132394.11,ENSG00000132394
chr11:26525683-26531205,non-NMD rescued,0.0277,0.0356,0.039,0.1378,FALSE,TRUE,Dark cryptic,ANO3,ENSG00000134343.14,ENSG00000134343
chr1:156673527-156676482,NMD rescued,0.0028,0.038,0.032,0.1883,FALSE,TRUE,Dark cryptic,NES,ENSG00000132688.11,ENSG00000132688
chr1:156673527-156676482,non-NMD rescued,0.001,0.0222,0.018,0.1137,FALSE,TRUE,Dark cryptic,NES,ENSG00000132688.11,ENSG00000132688
chr11:61726847-61728153,NMD rescued,0.0109,0.0206,0.006,0.1368,FALSE,TRUE,Dark cryptic,DAGLA,ENSG00000134780.10,ENSG00000134780
chr4:54265049-54267552,non-NMD rescued,0.02,0.0466,0.0044,0.1012,FALSE,TRUE,Dark cryptic,PDGFRA,ENSG00000134853.12,ENSG00000134853
chr4:54265049-54267552,NMD rescued,0.0208,0.0412,0.0061,0.1241,FALSE,TRUE,Dark cryptic,PDGFRA,ENSG00000134853.12,ENSG00000134853
chr1:205791718-205795344,non-NMD rescued,0.049,0.0187,0.0555,0.1235,FALSE,TRUE,Dark cryptic,SLC41A1,ENSG00000133065.11,ENSG00000133065
chr13:36336358-36346225,NMD rescued,0.0111,0.0315,0.0172,0.1653,FALSE,TRUE,Dark cryptic,SPART,ENSG00000133104.14,ENSG00000133104
chr5:160280738-160312364,non-NMD rescued,0.0022,0.0025,0.0054,0.1029,FALSE,TRUE,Dark cryptic,CCNJL,ENSG00000135083.16,ENSG00000135083
chr12:116779348-116788636,non-NMD rescued,0.007,0.0052,0.9632,0.9794,TRUE,TRUE,PSI > 95% at baseline,RNFT2,ENSG00000135119.15,ENSG00000135119
chr19:55343841-55343969,NMD rescued,0.027,0.0494,0.0027,0.1394,FALSE,TRUE,Dark cryptic,KMT5C,ENSG00000133247.14,ENSG00000133247
chr19:55265389-55274398,NMD rescued,0.0011,0.0476,0.0488,0.1728,FALSE,TRUE,Dark cryptic,HSPBP1,ENSG00000133265.11,ENSG00000133265
chr19:55265389-55274398,non-NMD rescued,5e-04,0.0284,0.032,0.1277,FALSE,TRUE,Dark cryptic,HSPBP1,ENSG00000133265.11,ENSG00000133265
chr16:67249201-67266088,NMD rescued,0.0238,0.0045,0.0091,0.1121,FALSE,TRUE,Dark cryptic,SLC9A5,ENSG00000135740.17,ENSG00000135740
chr18:48761689-48857588,non-NMD rescued,0.0244,0.0109,0.095,0.1053,FALSE,TRUE,non-NMD rescued,CTIF,ENSG00000134030.14,ENSG00000134030
chr13:48496321-48501742,NMD rescued,0.0312,0.0423,0.0126,0.1241,FALSE,TRUE,Dark cryptic,RCBTB2,ENSG00000136161.13,ENSG00000136161
chr13:48504390-48511770,NMD rescued,0.0073,0.0091,0.0072,0.1401,FALSE,TRUE,Dark cryptic,RCBTB2,ENSG00000136161.13,ENSG00000136161
chr7:14583137-14613340,NMD rescued,0.0395,0.037,0.0294,0.1398,FALSE,TRUE,Dark cryptic,DGKB,ENSG00000136267.14,ENSG00000136267
chr1:35835993-35839169,NMD rescued,0.0357,0.0414,0.0235,0.1366,FALSE,TRUE,Dark cryptic,AGO4,ENSG00000134698.11,ENSG00000134698
chr17:63699348-63700921,NMD rescued,0.007,0.0338,0.0147,0.1749,FALSE,TRUE,Dark cryptic,LIMD2,ENSG00000136490.9,ENSG00000136490
chr11:128992046-128998319,non-NMD rescued,0.0185,0.0198,0.8062,0.8046,TRUE,TRUE,non-NMD rescued,ARHGAP32,ENSG00000134909.19,ENSG00000134909
chr2:113462494-113482177,non-NMD rescued,0.0093,0.0017,0.0639,0.1069,FALSE,TRUE,non-NMD rescued,CBWD2,ENSG00000136682.15,ENSG00000136682
chr9:127403803-127404818,non-NMD rescued,0.0208,0.0282,0.0851,0.1139,FALSE,TRUE,non-NMD rescued,SLC2A8,ENSG00000136856.18,ENSG00000136856
chr9:97656085-97658690,non-NMD rescued,0.0012,0.0354,0.0184,0.1016,FALSE,TRUE,Dark cryptic,NCBP1,ENSG00000136937.13,ENSG00000136937
chr8:119850516-119852554,NMD rescued,0.0071,0.0445,0.063,0.1636,FALSE,TRUE,Dark cryptic,DSCC1,ENSG00000136982.6,ENSG00000136982
chr9:35845829-35845975,non-NMD rescued,0.0041,0.0424,0.0313,0.1097,FALSE,TRUE,Dark cryptic,TMEM8B,ENSG00000137103.20,ENSG00000137103
chr12:57623913-57624500,non-NMD rescued,0.0346,0.0486,0.0242,0.1121,FALSE,TRUE,Dark cryptic,SLC26A10,ENSG00000135502.19,ENSG00000135502
chr12:57623913-57624500,non-NMD rescued,0.0346,0.0486,0.0242,0.1121,FALSE,TRUE,Dark cryptic,RP11-571M6.19,ENSG00000287908.1,ENSG00000287908
chr6:109447229-109447681,non-NMD rescued,9e-04,0.0459,0.1307,0.1568,TRUE,TRUE,non-NMD rescued,MICAL1,ENSG00000135596.18,ENSG00000135596
chr6:109447722-109448161,non-NMD rescued,0.0028,0.0027,0.0724,0.1437,FALSE,TRUE,Dark cryptic,MICAL1,ENSG00000135596.18,ENSG00000135596
chr2:73229596-73230129,NMD rescued,0.0119,0.0207,0.0019,0.1073,FALSE,TRUE,Dark cryptic,PRADC1,ENSG00000135617.4,ENSG00000135617
chr16:67237403-67237538,NMD rescued,0.0047,0.0372,0.0015,0.1755,FALSE,TRUE,Dark cryptic,FHOD1,ENSG00000135723.14,ENSG00000135723
chr16:67237780-67238312,NMD rescued,0.0085,0.044,0.0018,0.1264,FALSE,TRUE,Dark cryptic,FHOD1,ENSG00000135723.14,ENSG00000135723
chr1:179955418-179986169,non-NMD rescued,0.0471,0.0347,0.0066,0.1042,FALSE,TRUE,Dark cryptic,CEP350,ENSG00000135837.16,ENSG00000135837
chr15:42563857-42565446,NMD rescued,0.0066,0.0017,0.2396,0.6334,TRUE,TRUE,NMD rescued,HAUS2,ENSG00000137814.12,ENSG00000137814
chr15:42565646-42566607,NMD rescued,0.0033,3e-04,0.0601,0.2599,FALSE,TRUE,Dark cryptic,HAUS2,ENSG00000137814.12,ENSG00000137814
chr15:42565880-42566607,non-NMD rescued,0.0033,0.0077,0.2819,0.3649,TRUE,TRUE,NMD rescued,HAUS2,ENSG00000137814.12,ENSG00000137814
chr2:105298705-105307483,NMD rescued,0.0368,0.0095,0.0654,0.3091,FALSE,TRUE,Dark cryptic,TGFBRAP1,ENSG00000135966.13,ENSG00000135966
chr2:148769289-148770792,NMD rescued,0.0066,0.0147,0.011,0.1835,FALSE,TRUE,Dark cryptic,EPC2,ENSG00000135999.12,ENSG00000135999
chr1:100206636-100208210,non-NMD rescued,0.0159,0.0327,0.0071,0.1011,FALSE,TRUE,Dark cryptic,DBT,ENSG00000137992.15,ENSG00000137992
chr10:102461451-102465677,NMD rescued,0.0077,0.0035,0.0019,0.3957,FALSE,TRUE,Dark cryptic,MFSD13A,ENSG00000138111.14,ENSG00000138111
chr10:102472981-102474067,NMD rescued,0.0056,0.0302,0.0961,0.4272,FALSE,TRUE,Dark cryptic,MFSD13A,ENSG00000138111.14,ENSG00000138111
chr10:102472997-102474067,NMD rescued,0.0056,0.0344,0.0018,0.1768,FALSE,TRUE,Dark cryptic,MFSD13A,ENSG00000138111.14,ENSG00000138111
chr10:102465815-102465980,NMD rescued,0.0223,0.0083,0.0045,0.4806,FALSE,TRUE,Dark cryptic,MFSD13A,ENSG00000138111.14,ENSG00000138111
chr10:102466825-102472835,NMD rescued,0.0046,0.0341,0.002,0.1375,FALSE,TRUE,Dark cryptic,MFSD13A,ENSG00000138111.14,ENSG00000138111
chr10:102474257-102475838,NMD rescued,0.007,0.0114,0.0066,0.1294,FALSE,TRUE,Dark cryptic,MFSD13A,ENSG00000138111.14,ENSG00000138111
chr1:220024456-220030386,non-NMD rescued,0.0184,0.0316,0.0191,0.1128,FALSE,TRUE,Dark cryptic,EPRS1,ENSG00000136628.18,ENSG00000136628
chr2:216451064-216453947,non-NMD rescued,0.0082,0.0022,0.0649,0.1106,FALSE,TRUE,non-NMD rescued,SMARCAL1,ENSG00000138375.13,ENSG00000138375
chr2:190653780-190659158,non-NMD rescued,0.0185,0.0069,0.2532,0.1024,TRUE,TRUE,non-NMD rescued,NAB1,ENSG00000138386.17,ENSG00000138386
chr4:121832173-121833231,NMD rescued,0.0045,0.0493,0.0543,0.2838,FALSE,TRUE,Dark cryptic,BBS7,ENSG00000138686.10,ENSG00000138686
chr4:121828728-121832060,NMD rescued,0.0075,0.045,0.0185,0.3915,FALSE,TRUE,Dark cryptic,BBS7,ENSG00000138686.10,ENSG00000138686
chr4:78776753-78826037,non-NMD rescued,0.0145,0.0027,0.0498,0.1202,FALSE,TRUE,Dark cryptic,BMP2K,ENSG00000138756.19,ENSG00000138756
chr4:78424420-78429101,non-NMD rescued,0.0286,0.0314,0.0375,0.1179,FALSE,TRUE,Dark cryptic,FRAS1,ENSG00000138759.20,ENSG00000138759
chr9:127383545-127386870,non-NMD rescued,0.019,0.0017,0.0808,0.1785,FALSE,TRUE,Dark cryptic,GARNL3,ENSG00000136895.19,ENSG00000136895
chr16:1729578-1732039,NMD rescued,0.0014,0.0186,0.0802,0.3363,FALSE,TRUE,Dark cryptic,MAPK8IP3,ENSG00000138834.14,ENSG00000138834
chr6:28225366-28227193,non-NMD rescued,0.0046,0.0012,0.008,0.1011,FALSE,TRUE,Dark cryptic,ZSCAN9,ENSG00000137185.13,ENSG00000137185
chr11:78459781-78465876,NMD rescued,0.0016,0.0213,0.0127,0.1392,FALSE,TRUE,Dark cryptic,NARS2,ENSG00000137513.10,ENSG00000137513
chr12:109961451-109961613,NMD rescued,0.0081,0.0064,0.0281,0.2376,FALSE,TRUE,Dark cryptic,GIT2,ENSG00000139436.21,ENSG00000139436
chr12:53160319-53161273,non-NMD rescued,0.0205,0.0062,0.0499,0.1223,FALSE,TRUE,Dark cryptic,CSAD,ENSG00000139631.19,ENSG00000139631
chr13:97334440-97338647,non-NMD rescued,0.0121,0.0014,0.2212,0.1387,TRUE,TRUE,non-NMD rescued,MBNL2,ENSG00000139793.19,ENSG00000139793
chr14:61079802-61083550,non-NMD rescued,0.0218,0.0213,0.057,0.1126,FALSE,TRUE,Dark cryptic,SLC38A6,ENSG00000139974.16,ENSG00000139974
chr15:57263274-57265349,NMD rescued,8e-04,1e-04,0.011,0.1768,FALSE,TRUE,Dark cryptic,TCF12,ENSG00000140262.18,ENSG00000140262
chr15:57272308-57273030,NMD rescued,4e-04,0.0289,0.0108,0.1119,FALSE,TRUE,Dark cryptic,TCF12,ENSG00000140262.18,ENSG00000140262
chr2:27104776-27114624,NMD rescued,0.0025,0.001,7e-04,0.1575,FALSE,TRUE,Dark cryptic,CGREF1,ENSG00000138028.16,ENSG00000138028
chr15:75879188-75881390,non-NMD rescued,0.0147,0.0416,0.0418,0.1025,FALSE,TRUE,Dark cryptic,UBE2Q2,ENSG00000140367.12,ENSG00000140367
chr15:72288410-72288538,non-NMD rescued,0.0155,0.0124,0.0381,0.1087,FALSE,TRUE,Dark cryptic,CELF6,ENSG00000140488.16,ENSG00000140488
chr15:72288410-72288538,non-NMD rescued,0.0155,0.0124,0.0381,0.1087,FALSE,TRUE,Dark cryptic,RP11-106M3.5,ENSG00000273025.1,ENSG00000273025
chr15:89319350-89323404,non-NMD rescued,0.0023,0.0266,0.0269,0.1137,FALSE,TRUE,Dark cryptic,POLG,ENSG00000140521.17,ENSG00000140521
chr15:89608968-89618112,NMD rescued,0.0218,0.0119,0.0059,0.1322,FALSE,TRUE,Dark cryptic,TICRR,ENSG00000140534.14,ENSG00000140534
chr15:88909923-88912428,non-NMD rescued,0.0056,0.048,0.0091,0.1061,FALSE,TRUE,Dark cryptic,MFGE8,ENSG00000140545.15,ENSG00000140545
chr10:102475945-102480536,non-NMD rescued,0.02,0.0049,0.0149,0.1035,FALSE,TRUE,Dark cryptic,ACTR1A,ENSG00000138107.13,ENSG00000138107
chr17:514194-514241,non-NMD rescued,0.005,0.033,0.1072,0.161,TRUE,TRUE,NMD rescued,VPS53,ENSG00000141252.21,ENSG00000141252
chr4:122177519-122186036,non-NMD rescued,0.0262,0.0137,0.1328,0.1062,TRUE,TRUE,non-NMD rescued,KIAA1109,ENSG00000138688.16,ENSG00000138688
chr12:7137110-7141242,NMD rescued,0.002,0.0332,0.0386,0.1878,FALSE,TRUE,Dark cryptic,CLSTN3,ENSG00000139182.15,ENSG00000139182
chr17:82900731-82905936,non-NMD rescued,0.0206,0.0479,0.0206,0.1107,FALSE,TRUE,Dark cryptic,TBCD,ENSG00000141556.22,ENSG00000141556
chr17:80822301-80837922,NMD rescued,0.0056,0.0102,0.0235,0.2233,FALSE,TRUE,Dark cryptic,RPTOR,ENSG00000141564.15,ENSG00000141564
chr17:80892869-80908811,NMD rescued,0.0047,0.0012,0.039,0.7495,FALSE,TRUE,Dark cryptic,RPTOR,ENSG00000141564.15,ENSG00000141564
chr13:51753748-51755358,non-NMD rescued,0.0041,0.0032,0.0884,0.1753,FALSE,TRUE,Dark cryptic,WDFY2,ENSG00000139668.9,ENSG00000139668
chr13:51754397-51755358,non-NMD rescued,0.0041,0.0452,0.0173,0.1069,FALSE,TRUE,Dark cryptic,WDFY2,ENSG00000139668.9,ENSG00000139668
chr15:42730764-42730963,NMD rescued,0.0263,0.0099,0.004,0.1349,FALSE,TRUE,Dark cryptic,CDAN1,ENSG00000140326.13,ENSG00000140326
chr15:63588423-63588533,NMD rescued,0.0251,0.0026,0.0273,0.1968,FALSE,TRUE,Dark cryptic,USP3,ENSG00000140455.17,ENSG00000140455
chr1:161167486-161168993,NMD rescued,0.0053,0.0372,0.0183,0.2027,FALSE,TRUE,Dark cryptic,PPOX,ENSG00000143224.18,ENSG00000143224
chr1:161169720-161170620,NMD rescued,0.0043,0.0362,0.0242,0.2274,FALSE,TRUE,Dark cryptic,PPOX,ENSG00000143224.18,ENSG00000143224
chr16:72889962-72922624,NMD rescued,0.0147,0.0221,0.0023,0.1357,FALSE,TRUE,Dark cryptic,ZFHX3,ENSG00000140836.17,ENSG00000140836
chr16:87413195-87415276,non-NMD rescued,0.0198,0.034,0.0362,0.1185,FALSE,TRUE,Dark cryptic,ZCCHC14,ENSG00000140948.13,ENSG00000140948
chr18:12429436-12430178,NMD rescued,0.0063,8e-04,0.42,0.9239,TRUE,TRUE,NMD rescued,PRELID3A,ENSG00000141391.14,ENSG00000141391
chr18:12430292-12431150,NMD rescued,0.0063,8e-04,0.5302,0.9491,TRUE,TRUE,NMD rescued,PRELID3A,ENSG00000141391.14,ENSG00000141391
chr17:81208356-81208928,NMD rescued,0.0046,0.002,0.0528,0.1689,FALSE,TRUE,Dark cryptic,CEP131,ENSG00000141577.14,ENSG00000141577
chr17:81207239-81208144,non-NMD rescued,0.0031,0.0014,0.137,0.1017,TRUE,TRUE,non-NMD rescued,CEP131,ENSG00000141577.14,ENSG00000141577
chr17:81207239-81208131,NMD rescued,0.0031,0.0014,0.0683,0.2204,FALSE,TRUE,Dark cryptic,CEP131,ENSG00000141577.14,ENSG00000141577
chr19:51311926-51320386,non-NMD rescued,0.0056,0.0027,0.0613,0.1394,FALSE,TRUE,Dark cryptic,IGLON5,ENSG00000142549.10,ENSG00000142549
chr19:51320670-51322064,non-NMD rescued,0.0056,0.0027,0.4484,0.383,TRUE,TRUE,non-NMD rescued,IGLON5,ENSG00000142549.10,ENSG00000142549
chr3:37739537-37741730,NMD rescued,0.009,0.0349,0.0016,0.1499,FALSE,TRUE,Dark cryptic,ITGA9,ENSG00000144668.12,ENSG00000144668
chr3:36443640-36461343,NMD rescued,8e-04,0.0189,0.0137,0.134,FALSE,TRUE,Dark cryptic,STAC,ENSG00000144681.11,ENSG00000144681
chr3:36461521-36482992,NMD rescued,0.0023,0.0287,0.0649,0.1781,FALSE,TRUE,Dark cryptic,STAC,ENSG00000144681.11,ENSG00000144681
chr3:108407618-108408280,NMD rescued,0.0208,0.0487,0.0523,0.2535,FALSE,TRUE,Dark cryptic,MYH15,ENSG00000144821.10,ENSG00000144821
chr1:163111317-163129169,non-NMD rescued,0.0255,0.0462,0.037,0.1086,FALSE,TRUE,Dark cryptic,RGS5,ENSG00000143248.13,ENSG00000143248
chr5:148407901-148409124,non-NMD rescued,0.0043,0.0319,0.033,0.1035,FALSE,TRUE,Dark cryptic,FBXO38,ENSG00000145868.17,ENSG00000145868
chr5:150902566-150903141,non-NMD rescued,0.0093,0.0063,0.0372,0.107,FALSE,TRUE,Dark cryptic,ZNF300,ENSG00000145908.13,ENSG00000145908
chr6:5369182-5371152,NMD rescued,0.0067,0.0432,0.0139,0.1151,FALSE,TRUE,Dark cryptic,FARS2,ENSG00000145982.13,ENSG00000145982
chr1:150999967-151000457,non-NMD rescued,0.0069,0.0193,0.0709,0.1204,FALSE,TRUE,non-NMD rescued,MINDY1,ENSG00000143409.16,ENSG00000143409
chr2:113588703-113594288,NMD rescued,0.0041,0.0349,0.0011,0.1333,FALSE,TRUE,Dark cryptic,WASH2P,ENSG00000146556.14,ENSG00000146556
chr2:113588703-113595060,NMD rescued,0.0041,0.0313,0.0164,0.1229,FALSE,TRUE,Dark cryptic,WASH2P,ENSG00000146556.14,ENSG00000146556
chr1:225831959-225839217,non-NMD rescued,0.0123,0.0461,0.1385,0.1393,TRUE,TRUE,non-NMD rescued,EPHX1,ENSG00000143819.13,ENSG00000143819
chr1:204222779-204228083,non-NMD rescued,0.0124,0.0107,0.2049,0.1497,TRUE,TRUE,non-NMD rescued,PLEKHA6,ENSG00000143850.16,ENSG00000143850
chr2:72515126-72515487,non-NMD rescued,0.0047,0.0413,0.0211,0.109,FALSE,TRUE,Dark cryptic,EXOC6B,ENSG00000144036.16,ENSG00000144036
chr2:97084277-97090109,NMD rescued,0.0043,0.0204,0.0121,0.1411,FALSE,TRUE,Dark cryptic,FAHD2B,ENSG00000144199.12,ENSG00000144199
chr9:89057831-89065529,non-NMD rescued,0.0132,0.0269,0.0474,0.1405,FALSE,TRUE,Dark cryptic,SHC3,ENSG00000148082.10,ENSG00000148082
chr2:226867318-226867566,non-NMD rescued,0.0083,0.0153,0.0583,0.1222,FALSE,TRUE,Dark cryptic,RHBDD1,ENSG00000144468.17,ENSG00000144468
chr9:112817819-112830725,non-NMD rescued,0.0303,0.0447,0.0195,0.1002,FALSE,TRUE,Dark cryptic,SNX30,ENSG00000148158.17,ENSG00000148158
chr3:72763014-72792916,non-NMD rescued,0.0015,3e-04,0.2319,0.1837,TRUE,TRUE,non-NMD rescued,SHQ1,ENSG00000144736.14,ENSG00000144736
chr3:72750836-72762906,non-NMD rescued,0.0024,4e-04,0.2035,0.2211,TRUE,TRUE,non-NMD rescued,SHQ1,ENSG00000144736.14,ENSG00000144736
chr3:120908416-120909571,non-NMD rescued,0.0357,0.0069,0.3378,0.4328,TRUE,TRUE,NMD rescued,STXBP5L,ENSG00000145087.13,ENSG00000145087
chr3:120908428-120909571,non-NMD rescued,0.0357,0.0015,0.616,0.4031,TRUE,TRUE,non-NMD rescued,STXBP5L,ENSG00000145087.13,ENSG00000145087
chr3:121157627-121223003,NMD rescued,0.0294,0.0261,0.0061,0.1138,FALSE,TRUE,Dark cryptic,STXBP5L,ENSG00000145087.13,ENSG00000145087
chr10:11487871-11489102,NMD rescued,0.0108,0.0019,0.1178,0.5321,TRUE,TRUE,NMD rescued,USP6NL,ENSG00000148429.14,ENSG00000148429
chr10:11485911-11487803,NMD rescued,0.0108,0.0019,0.0725,0.4465,FALSE,TRUE,Dark cryptic,USP6NL,ENSG00000148429.14,ENSG00000148429
chr4:186201342-186203331,NMD rescued,0.0145,0.0277,0.0018,0.1024,FALSE,TRUE,Dark cryptic,CYP4V2,ENSG00000145476.16,ENSG00000145476
chr5:149366153-149367337,NMD rescued,0.008,0.0363,0.002,0.1131,FALSE,TRUE,Dark cryptic,PCYOX1L,ENSG00000145882.11,ENSG00000145882
chr5:181230839-181232920,NMD rescued,0.0145,0.0064,0.0021,0.1506,FALSE,TRUE,Dark cryptic,TRIM41,ENSG00000146063.20,ENSG00000146063
chr5:181232889-181232966,non-NMD rescued,0.0426,0.0064,0.19,0.1524,TRUE,TRUE,non-NMD rescued,TRIM41,ENSG00000146063.20,ENSG00000146063
chr11:77356561-77358898,non-NMD rescued,0.0034,0.0473,0.004,0.1039,FALSE,TRUE,Dark cryptic,PAK1,ENSG00000149269.10,ENSG00000149269
chr11:108197420-108210280,non-NMD rescued,0.0079,0.0283,0.0357,0.1106,FALSE,TRUE,Dark cryptic,NPAT,ENSG00000149308.17,ENSG00000149308
chr7:56017379-56021073,non-NMD rescued,0.0401,0.0263,0.121,0.1041,TRUE,TRUE,non-NMD rescued,PSPH,ENSG00000146733.14,ENSG00000146733
chr7:99892746-99900532,NMD rescued,0.0121,0.0398,0.0363,0.1997,FALSE,TRUE,Dark cryptic,TRIM4,ENSG00000146833.16,ENSG00000146833
chr7:158687442-158688893,NMD rescued,0.0492,0.0455,0.0338,0.1356,FALSE,TRUE,Dark cryptic,NCAPG2,ENSG00000146918.20,ENSG00000146918
chr5:32242127-32243216,NMD rescued,0.0156,0.0024,0.0047,0.1094,FALSE,TRUE,Dark cryptic,MTMR12,ENSG00000150712.11,ENSG00000150712
chr10:341329-348641,NMD rescued,0.0238,0.0127,0.1787,0.4571,TRUE,TRUE,NMD rescued,DIP2C,ENSG00000151240.17,ENSG00000151240
chr10:417344-419065,NMD rescued,0.0115,0.0433,0.022,0.18,FALSE,TRUE,Dark cryptic,DIP2C,ENSG00000151240.17,ENSG00000151240
chrX:71423358-71423974,NMD rescued,0.0091,0.0018,0.0366,0.2748,FALSE,TRUE,Dark cryptic,TAF1,ENSG00000147133.17,ENSG00000147133
chr12:32294146-32304421,non-NMD rescued,0.0076,0.0141,0.0327,0.1311,FALSE,TRUE,Dark cryptic,BICD1,ENSG00000151746.15,ENSG00000151746
chr13:43860070-43869331,non-NMD rescued,0.0241,0.0043,0.0477,0.1088,FALSE,TRUE,Dark cryptic,CCDC122,ENSG00000151773.13,ENSG00000151773
chr11:78805492-78814294,NMD rescued,0.0217,0.0323,0.0251,0.1731,FALSE,TRUE,Dark cryptic,TENM4,ENSG00000149256.16,ENSG00000149256
chr4:80197763-80201290,non-NMD rescued,0.023,0.0345,0.1637,0.1391,TRUE,TRUE,non-NMD rescued,PRDM8,ENSG00000152784.16,ENSG00000152784
chr20:31869597-31870160,non-NMD rescued,0.0049,0.0027,0.0509,0.1339,FALSE,TRUE,Dark cryptic,DUSP15,ENSG00000149599.16,ENSG00000149599
chr12:124912636-124913321,non-NMD rescued,0.0245,0.0271,0.0238,0.1136,FALSE,TRUE,Dark cryptic,UBC,ENSG00000150991.15,ENSG00000150991
chr10:77793235-77794008,NMD rescued,0.0019,5e-04,0.2244,0.5187,TRUE,TRUE,NMD rescued,DLG5,ENSG00000151208.17,ENSG00000151208
