dox0_sh,paste_into_igv_junction,dox0125,dox0187,dox021,dox025,dox075,timing_shsy5y,max_psi_sh,dox0_be2,dox002,dox003,dox004,dox005,dox0075,dox01,dox1,timing_be2,max_psi_be2,junction_for_clustering,gene,strand,junction_cat,cryptic,ID_exon,UMAP_1_together,UMAP_2_together,cluster_together,UMAP_1_sh,UMAP_2_sh,cluster_sh,UMAP_1_be2,UMAP_2_be2,cluster_be2,last_exon
0.008,chr5:112266330-112267210,0.226,0.879,0.868,0.993,0.993,Earli,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,EPB41L4A,-,donor,yes,151,-6.718000427,-6.856645979,1,0.87473234,6.848228038,3,NA,NA,NA,FALSE
0.008,chr5:112267284-112275326,0.45,0.895,0.911,0.994,0.991,Earli,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,EPB41L4A,-,acceptor,yes,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.066,chr18:45901167-45903940,0.066,0.066,0.066,0.365,0.714,Intermediate,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,EPG5,-,donor,no,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr21:38806808-38810035,NA,NA,NA,NA,NA,NA,NA,0.078,0.078,0.078,0.309,0.356,0.497,0.531,0.589,Early,Top,yes,ETS2,+,annotated,no,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.491,chr17:76089320-76094414,0.491,0.664,0.664,0.666,0.835,Early,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,EXOC7,-,skip,no,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.03,chrX:154863227-154896077,0.03,0.03,0.03,0.03,0.611,Late,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,F8,-,donor,no,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.004,chr2:95402992-95405277,0.004,0.004,0.06,0.06,0.205,Late,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,FAHD2A,+,donor,no,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.004,chr5:154037455-154038388,0.004,0.155,0.108,0.058,0.236,Early,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,FAM114A2,-,acceptor,yes,157,0.417160394,-5.348547935,8,1.385098211,-1.283400495,5,NA,NA,NA,FALSE
NA,chr5:154037455-154038293,NA,NA,NA,NA,NA,NA,NA,0.002,0.002,0.321,0.321,0.321,0.336,0.336,0.336,Early,Medium,yes,FAM114A2,-,novel_acceptor,yes,158,-0.673302709,9.230191125,9,NA,NA,NA,0.309068588,0.905044491,4,FALSE
0.446,chr9:133580246-133609077,0.446,0.616,0.616,0.627,0.851,Early,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,FAM163B,-,donor,no,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.407,chr9:61856814-61917468,0.407,0.635,0.635,0.635,0.87,Early,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,FAM27C,+,acceptor,no,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.285,chr12:8193655-8194203,0.562,0.785,0.776,0.966,0.93,Earli,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,FAM66C,+,donor,no,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.01,chr12:8188535-8193520,0.136,0.345,0.345,0.345,0.35,Earli,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,FAM66C,+,acceptor,no,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr8:12144875-12145423,NA,NA,NA,NA,NA,NA,NA,0.314,0.842,0.842,0.968,0.929,0.909,0.982,0.982,Earli,Top,yes,FAM66D,+,annotated,no,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.046,chr9:95111345-95111463,0.046,0.046,0.046,0.046,0.272,Late,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,FANCC,-,acceptor,no,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
NA,chr2:58217434-58221942,NA,NA,NA,NA,NA,NA,NA,0.018,0.018,0.018,0.018,0.018,0.236,0.225,0.216,Late,Bottom,yes,FANCL,-,annotated,yes,164,0.836610873,3.044449916,5,NA,NA,NA,1.886047146,-3.180816736,3,TRUE
0.56,chr12:132508350-132525734,0.56,0.56,0.56,0.737,0.847,Intermediate,Medium,0.445,0.445,0.445,0.445,0.445,0.656,0.671,0.702,Late,Bottom,yes,FBRSL1,+,annotated,no,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.541,chr8:431444-432886,0.541,0.91,0.9,0.931,0.96,Early,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,FBXO25,+,acceptor,no,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.737,chr8:432935-435615,0.737,0.954,0.953,0.971,0.98,Early,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,FBXO25,+,donor,no,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.228,chr1:11658393-11658533,0.228,0.228,0.228,0.228,0.513,Late,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,FBXO44,+,acceptor,no,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.183,chr1:11658628-11658736,0.183,0.183,0.183,0.183,0.465,Late,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,FBXO44,+,donor,no,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.012,chr11:125489822-125495836,0.012,0.012,0.012,0.242,0.302,Intermediate,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,FEZ1,-,donor,yes,168,5.419883963,-5.191833182,6,-0.349534405,-1.819484804,5,NA,NA,NA,FALSE
NA,chr12:26957743-26963342,NA,NA,NA,NA,NA,NA,NA,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.727,Late,Bottom,yes,FGFR1OP2,+,skip,no,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.011,chr5:177089693-177089858,0.011,0.667,0.667,0.897,0.942,Earli,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,FGFR4,+,acceptor,yes,170,-6.708621348,-6.860311763,1,0.626234755,6.822558475,3,NA,NA,NA,FALSE
0.011,chr5:177089940-177090390,0.011,0.011,0.011,0.879,0.939,Earli,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,FGFR4,+,donor,yes,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.161,chr4:158833890-158835405,0.161,0.281,0.281,0.297,0.703,Intermediate,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,FNIP2,+,donor,no,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.131,chr4:158833628-158833801,0.131,0.131,0.249,0.249,0.633,Intermediate,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,FNIP2,+,acceptor,no,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.044,chr2:48334678-48346201,0.044,0.044,0.179,0.179,0.208,Intermediate,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,FOXN2,+,donor,no,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr6:111699670-111700104,NA,NA,NA,NA,NA,NA,NA,0.282,0.282,0.559,0.599,0.656,0.629,0.759,0.796,Early,Top,yes,FYN,-,novel_combo,no,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0,chr14:30559272-30563746,0,0,0,0,0.163,Late,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,G2E3,+,acceptor,yes,174,9.181255995,-3.730671986,2,-1.468447954,-5.723123004,1,NA,NA,NA,TRUE
0.051,chr8:11698411-11700508,0.051,0.705,0.753,0.906,0.972,Earli,Top,0.016,0.016,0.686,0.897,0.897,0.852,0.858,0.858,Earli,Top,yes,GATA4,+,novel_donor,yes,175,-4.961995044,2.383864998,3,0.693767476,7.008300763,3,-1.348916174,5.480005592,1,FALSE
0.236,chr1:155217373-155217519,0.236,0.236,0.236,0.236,0.648,Late,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,GBAP1,-,donor,no,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.015,chr12:109939247-109942842,0.091,0.085,0.124,0.126,0.432,Early,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,GIT2,-,donor,yes,177,4.787548505,-3.789297055,2,-2.494701085,-1.937782002,1,NA,NA,NA,FALSE
0.065,chr12:109945349-109947256,0.065,0.273,0.275,0.268,0.459,Early,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,GIT2,-,acceptor,no,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.003,chr22:19824077-19854443,0.003,0.003,0.173,0.173,0.407,Intermediate,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,GNB1L,-,acceptor,yes,179,4.838130533,-4.388812178,2,-0.254973636,-0.911911732,5,NA,NA,NA,FALSE
0.003,chr22:19821375-19823987,0.003,0.144,0.223,0.208,0.269,Intermediate,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,GNB1L,-,donor,yes,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.024,chr19:46634725-46636050,0.024,0.345,0.423,0.555,0.832,Early,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,GNG8,-,donor,yes,180,-6.505935556,-7.16449331,1,1.36633546,4.864470672,4,NA,NA,NA,FALSE
NA,chr19:34391694-34392043,NA,NA,NA,NA,NA,NA,NA,0.035,0.035,0.035,0.035,0.035,0.206,0.206,0.258,Late,Bottom,yes,GPI,+,none,no,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chrX:53049484-53070988,NA,NA,NA,NA,NA,NA,NA,0.267,0.486,0.6,0.668,0.668,0.676,0.746,0.746,Earli,Top,yes,GPR173,+,annotated,no,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.001,chr1:108896431-108896864,0.001,0.277,0.412,0.496,0.67,Early,Top,0,0,0.287,0.585,0.647,0.736,0.795,0.771,Earli,Top,yes,GPSM2,+,novel_donor,yes,183,-4.17590533,2.434911075,3,1.365793227,4.121831392,4,-1.048901298,4.44256634,1,FALSE
0.001,chr1:108885578-108896317,0.001,0.232,0.386,0.466,0.637,Early,Top,0,0,0.323,0.634,0.686,0.726,0.801,0.797,Earli,Top,no,GPSM2,+,novel_acceptor,yes,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.007,chr16:46900883-46906842,0.007,0.179,0.16,0.182,0.194,Early,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,GPT2,+,donor,yes,184,0.575733944,-5.495058384,8,1.576736834,-0.688687247,5,NA,NA,NA,FALSE
0.015,chr1:52606260-52606684,0.015,0.136,0.142,0.104,0.221,Late,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,GPX7,+,donor,yes,185,0.577383023,-5.500987471,8,1.411982736,-1.177093528,5,NA,NA,NA,FALSE
0.011,chr19:35000486-35001098,0.011,0.215,0.229,0.275,0.26,Early,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,Earli,NA,no,GRAMD1A,+,acceptor,yes,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.243,chr19:35001244-35009119,0.603,0.644,0.635,0.62,0.976,Early,Top,0.108,0.314,0.488,0.516,0.595,0.605,0.596,0.548,Earli,Top,yes,GRAMD1A,+,annotated,no,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr2:11580832-11588746,NA,NA,NA,NA,NA,NA,NA,0.02,0.02,0.02,0.02,0.02,0.144,0.143,0.224,Late,Bottom,yes,GREB1,+,novel_exon_skip,yes,187,1.009612361,2.958685579,5,NA,NA,NA,2.400803303,-3.514432279,3,FALSE
NA,chr4:157220725-157221667,NA,NA,NA,NA,NA,NA,NA,0.048,0.048,0.048,0.284,0.284,0.348,0.348,0.458,Early,Medium,yes,GRIA2,+,annotated,yes,188,-1.007615875,9.311371184,9,NA,NA,NA,-0.590240698,0.872815499,4,FALSE
0.009,chr1:109670234-109671287,0.009,0.009,0.009,0.168,0.342,Intermediate,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,GSTM2,+,donor,yes,189,5.343549839,-5.096609117,6,-0.588596394,-1.725638236,5,NA,NA,NA,FALSE
0.004,chr15:42563857-42565446,0.004,0.004,0.004,0.143,0.236,Intermediate,Bottom,0.012,0.012,0.012,0.012,0.012,0.248,0.358,0.428,Late,Medium,yes,HAUS2,+,novel_acceptor,yes,190,-1.012578524,3.268966863,4,-0.444155264,-2.317227598,5,-1.412385283,-1.865291632,2,FALSE
0.001,chr15:42565880-42566607,0.001,0.001,0.001,0.001,0.186,Intermediate,Bottom,0,0,0,0,0,0.194,0.215,0.267,Late,Bottom,no,HAUS2,+,novel_donor,yes,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0,chr19:4491835-4492015,0,0.157,0.28,0.384,0.689,Early,Top,0,0,0,0.325,0.383,0.496,0.596,0.596,Early,Top,yes,HDGFL2,+,novel_acceptor,yes,191,-3.04234447,2.993332537,4,0.884110245,4.39243118,4,-1.300634075,1.608940207,4,FALSE
0,chr19:4492152-4493703,0,0.199,0.216,0.402,0.61,Early,Top,0,0,0,0.253,0.369,0.48,0.528,0.502,Early,Top,no,HDGFL2,+,novel_donor,yes,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr15:28196354-28198378,NA,NA,NA,NA,NA,NA,NA,0.134,0.134,0.134,0.134,0.134,0.134,0.134,0.337,Late,Bottom,yes,HERC2,-,novel_exon_skip,no,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr7:139614493-139620401,NA,NA,NA,NA,NA,NA,NA,0.225,0.225,0.225,0.484,0.466,0.545,0.503,0.564,Early,Medium,yes,HIPK2,-,annotated,no,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.434,chr7:26190460-26190993,0.434,0.434,0.434,0.554,0.665,Intermediate,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,HNRNPA2B1,-,donor,no,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr19:12774897-12778300,NA,NA,NA,NA,NA,NA,NA,0.048,0.34,0.34,0.398,0.412,0.412,0.443,0.514,Earli,Top,yes,HOOK2,-,annotated,no,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr16:22854781-22914944,NA,NA,NA,NA,NA,NA,NA,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.557,Late,Bottom,yes,HS3ST2,+,annotated,no,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr16:22815095-22854664,NA,NA,NA,NA,NA,NA,NA,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.51,Late,Bottom,no,HS3ST2,+,novel_exon_skip,no,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr13:96091569-96095910,NA,NA,NA,NA,NA,NA,NA,0.003,0.003,0.325,0.748,0.875,0.871,0.947,0.976,Earli,Top,yes,HS6ST3,+,novel_acceptor,yes,197,-2.251848308,9.179957155,9,NA,NA,NA,-1.333377485,5.032368488,1,TRUE
0.055,chr11:1748119-1750359,0.055,0.055,0.055,0.055,0.438,Late,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,IFITM10,-,donor,no,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr3:129483682-129483926,NA,NA,NA,NA,NA,NA,NA,0.004,0.004,0.004,0.004,0.247,0.423,0.464,0.713,Intermediate,Top,yes,IFT122,+,novel_acceptor,yes,199,-1.312466095,9.676524401,9,NA,NA,NA,-2.25190191,-0.530952207,2,FALSE
NA,chr3:129484024-129488257,NA,NA,NA,NA,NA,NA,NA,0.002,0.002,0.002,0.002,0.002,0.445,0.399,0.589,Intermediate,Top,no,IFT122,+,novel_donor,yes,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.42,chr3:160381724-160384564,0.42,0.552,0.552,0.552,0.775,Intermediate,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,IFT80,-,acceptor,no,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.462,chr11:2135529-2138229,0.462,0.462,0.648,0.728,0.788,Intermediate,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,IGF2,-,skip,no,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.01,chr4:57201820-57203508,0.01,0.01,0.01,0.01,0.413,Intermediate,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,IGFBP7-AS1,+,acceptor,yes,202,5.136146514,-3.174264053,2,-2.944006912,-2.313582166,1,NA,NA,NA,FALSE
0.004,chr4:57203595-57204478,0.034,0.004,0.22,0.22,0.252,Intermediate,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,IGFBP7-AS1,+,donor,yes,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.015,chr19:51320670-51322064,0.015,0.183,0.349,0.328,0.396,Early,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,IGLON5,+,donor,yes,203,-6.932656073,-8.103655962,1,1.695225301,2.168291196,2,NA,NA,NA,FALSE
NA,chr12:56021580-56025054,NA,NA,NA,NA,NA,NA,NA,0.167,0.167,0.167,0.143,0.167,0.546,0.546,0.822,Late,Top,yes,IKZF4,+,skip,no,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr11:31463305-31469740,NA,NA,NA,NA,NA,NA,NA,0.248,0.248,0.248,0.248,0.438,0.438,0.438,0.506,Intermediate,Bottom,yes,IMMP1L,-,annotated,no,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.004,chr2:190362687-190365113,0.004,0.004,0.004,0.004,0.223,Late,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,INPP1,+,acceptor,yes,206,7.877907484,-3.387632455,2,-1.665799612,-4.824040922,1,NA,NA,NA,FALSE
0.015,chr19:7169831-7170537,0.015,0.457,0.578,0.881,0.979,Earli,Top,0.005,0.267,0.636,0.978,0.981,0.981,0.981,0.962,Earli,Top,yes,INSR,-,novel_acceptor,yes,207,-4.898488462,2.399130594,3,0.485849688,6.646871231,3,-1.137689957,5.551629575,1,FALSE
0.102,chr3:48694824-48695090,0.102,0.102,0.102,0.223,0.318,Intermediate,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,IP6K2,-,acceptor,no,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.003,chr7:2565071-2567116,0.003,0.003,0.199,0.504,0.849,Intermediate,Top,0.007,0.007,0.007,0.007,0.007,0.408,0.45,0.819,Late,Top,yes,IQCE,+,novel_donor,yes,209,-2.206516746,3.435078359,4,1.100819462,5.114271879,4,-2.13773784,-1.669665912,2,FALSE
0.001,chr7:2559217-2564878,0.001,0.001,0.112,0.429,0.818,Intermediate,Top,0.004,0.004,0.004,0.004,0.004,0.004,0.283,0.704,Late,Top,no,IQCE,+,novel_acceptor,yes,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.029,chr12:43759016-43760925,0.222,0.222,0.222,0.222,0.503,Early,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,IRAK4,+,acceptor,yes,210,-2.261317054,-6.59450465,7,2.756633434,0.637881099,2,NA,NA,NA,FALSE
0.045,chr15:76336941-76340276,0.045,0.287,0.327,0.367,0.363,Early,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,ISL2,+,skip,yes,211,-6.854668702,-8.04171796,1,1.875488926,2.379466808,2,NA,NA,NA,FALSE
0,chr15:74130665-74131207,0,0,0,0,0.156,Early,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,ISLR2,+,donor,yes,212,9.211411818,-3.739840783,2,-1.498306288,-5.724936313,1,NA,NA,NA,FALSE
0.444,chr15:74128307-74130554,0.444,0.716,0.872,0.933,0.933,Early,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,ISLR2,+,acceptor,no,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.235,chr19:55455330-55455636,0.235,0.235,0.235,0.235,0.54,Late,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,ISOC2,-,donor,no,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.31,chr19:55455845-55456349,0.31,0.31,0.31,0.31,0.58,Late,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,ISOC2,-,acceptor,no,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0,chr20:63439708-63444659,0,0.221,0.209,0.215,0.217,Early,Bottom,0.015,0.309,0.409,0.437,0.406,0.439,0.417,0.379,Early,Medium,yes,KCNQ2,-,novel_exon_skip,yes,214,-3.351146815,3.581741606,4,1.521812095,-0.597910034,5,0.245094464,1.179867231,4,FALSE
0.686,chr9:135786521-135791797,0.686,0.686,0.686,0.686,0.97,Late,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,KCNT1,+,skip,no,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.001,chr19:33798390-33798668,0.001,0.001,0.001,0.001,0.204,Late,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,KCTD15,+,donor,yes,216,8.077308044,-3.324408742,2,-1.409885537,-5.190773352,1,NA,NA,NA,FALSE
0.021,chr19:33799719-33800137,0.021,0.253,0.228,0.448,0.421,Early,Top,0.027,0.027,0.027,0.553,0.553,0.616,0.689,0.689,Early,Top,yes,KCTD15,+,novel_acceptor,yes,220,-3.376651208,2.895503534,4,1.59495707,2.62466972,2,-1.278366125,3.13301374,1,FALSE
0,chr19:33800186-33800428,0,0,0.02,0.035,0.22,Intermediate,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,KCTD15,+,donor,yes,219,7.808485259,-3.390621412,2,-1.363002853,-4.639366544,1,NA,NA,NA,FALSE
0.021,chr19:33799718-33800138,0.021,0.019,0.134,0.153,0.321,Intermediate,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,KCTD15,+,acceptor,yes,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr19:33800189-33800427,NA,NA,NA,NA,NA,Early,NA,0.001,0.001,0.001,0.001,0.001,0.142,0.2,0.206,Early,Bottom,no,KCTD15,+,novel_donor,yes,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.053,chr19:33798766-33799594,0.053,0.053,0.152,0.179,0.312,Intermediate,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,KCTD15,+,acceptor,no,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr19:33798767-33799593,NA,NA,NA,NA,NA,NA,NA,0.001,0.001,0.001,0.001,0.001,0.155,0.204,0.211,Late,Bottom,yes,KCTD15,+,novel_exon_skip,no,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr6:18214679-18215006,NA,NA,NA,NA,NA,NA,NA,0.001,0.001,0.001,0.231,0.219,0.255,0.342,0.342,Early,Medium,yes,KDM1B,+,novel_donor,yes,221,-0.402290731,9.408006847,9,NA,NA,NA,0.391155529,-0.043408968,4,FALSE
NA,chr6:18213782-18214505,NA,NA,NA,NA,NA,NA,NA,0.001,0.001,0.178,0.22,0.205,0.227,0.302,0.257,Early,Bottom,no,KDM1B,+,novel_acceptor,yes,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.004,chr17:6580975-6589779,0.004,0.004,0.168,0.275,0.59,Intermediate,Top,0.02,0.02,0.02,0.02,0.02,0.342,0.342,0.342,Late,Medium,yes,KIAA0753,-,novel_acceptor,yes,222,-2.106026459,3.455459716,4,-0.217630316,0.955073039,5,-1.303979075,-1.919830747,2,FALSE
0.006,chr17:6579864-6580932,0.006,0.006,0.006,0.212,0.515,Intermediate,Top,0.032,0.032,0.032,0.032,0.032,0.295,0.313,0.319,Late,Medium,no,KIAA0753,-,novel_donor,yes,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.448,chr4:122325917-122328104,0.448,0.707,0.889,0.889,0.885,Early,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,KIAA1109,+,donor,no,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.559,chr4:122325320-122325855,0.559,0.765,0.921,0.921,0.917,Early,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,KIAA1109,+,acceptor,no,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.223,chr17:5014837-5019849,0.223,0.407,0.389,0.389,0.821,Early,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,KIF1C,+,acceptor,no,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.269,chr17:5019871-5019996,0.269,0.269,0.405,0.405,0.838,Early,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,KIF1C,+,donor,no,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr12:39370261-39386971,NA,NA,NA,NA,NA,NA,NA,0.024,0.024,0.024,0.024,0.024,0.201,0.211,0.203,Late,Bottom,yes,KIF21A,-,novel_donor,yes,225,0.846295703,3.116228731,5,NA,NA,NA,1.881077792,-3.155611387,3,FALSE
NA,chr12:39326324-39330746,NA,NA,NA,NA,NA,NA,NA,0.203,0.203,0.203,0.203,0.203,0.203,0.203,0.409,Late,Bottom,yes,KIF21A,-,skip,no,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.28,chr15:69423329-69425282,0.28,0.28,0.28,0.28,0.669,Intermediate,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,KIF23,+,acceptor,no,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.359,chr15:69425323-69426070,0.359,0.359,0.359,0.482,0.723,Intermediate,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,KIF23,+,donor,no,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.49,chr3:47283094-47287220,0.49,0.738,0.738,0.732,0.845,Early,Medium,0.096,0.096,0.361,0.435,0.432,0.465,0.478,0.474,Early,Medium,yes,KLHL18,+,annotated,no,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.026,chr11:75425581-75426483,0.213,0.213,0.213,0.213,0.321,Early,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,KLHL35,-,donor,yes,229,-2.360809461,-6.710422032,7,2.875428193,0.532548564,2,NA,NA,NA,FALSE
0.329,chr19:55342380-55342742,0.329,0.563,0.563,0.648,0.789,Early,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,KMT5C,+,donor,no,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
